Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1459C-11-1-W 56/56-NANNO,0,0,0.56,0.56,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white clay: core disturbance,,,,356,U1459,C,11,,1,W,0156677f619e9540d2ffd5f004cbad96
356-U1459C-2R-CC-PAL-NANNO,0,5,206.32,206.37,,,G,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R. pseudoumbilicus up to10 micron,,,,356,U1459,C,2,R,CC,PAL,bb95a1104de89f918b98bd50ee165e3e
356-U1459C-5R-1-PAL-NANNO,0,6,220.07,220.13,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,C,5,R,1,PAL,5eaaffebea8defbf503cc853c3aa1bb0
356-U1459C-6R-CC-PAL-NANNO,0,5,224.4,224.45,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R. pseudoumbilicus up to10 micron,,,,356,U1459,C,6,R,CC,PAL,6b03151fd87adc08fedb0f5d55fbae42
356-U1459C-7R-CC-PAL-NANNO,0,10,229.2,229.3,,,G,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,356,U1459,C,7,R,CC,PAL,5f27012799da1812db93bfb26be9692c
356-U1459C-8R-CC-PAL-NANNO,0,5,234.0,234.05,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,C,8,R,CC,PAL,5c78759e39bf774e8ff8ed3d5802cf11
356-U1459C-9R-CC-PAL-NANNO,0,5,238.8,238.85,,,G,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,C,9,R,CC,PAL,2299c7654e6ea023721939ccb11a3c34
356-U1459C-10R-CC-PAL-NANNO,0,5,243.8,243.85,NP25,"NP25 - Sphenolithus distentus (Gradstein et al., 2012)",G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,C,10,R,CC,PAL,dd0782c41d8e726cafcba2d77c0b4f53
356-U1459C-11R-1-PAL-NANNO,0,5,249.38,249.43,,,G,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of dolomites,,,,356,U1459,C,11,R,1,PAL,91532f71904d6f2813713d276a7a9c6e
356-U1459C-12R-1-PAL-NANNO,0,5,253.88,253.93,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large dolomites,,,,356,U1459,C,12,R,1,PAL,0d447ef4c72a52d7d22561208d44a8ec
