Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1471A-1H-1-W,75,75,0.75,0.75,,,G,A,A,A,,A,,,,,,,,,,,,,R,,,,,C,,,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,1,H,1,W,6baa0d961734c3efaedc9f3328ece725
359-U1471A-1H-2-W,75,75,2.03,2.03,,,M,C,C,R,,C,,,,,,,,,,,,,R,,,,,R,,,,,R,R,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,1,H,2,W,ffbd04041a104b006a77faf4145482dc
359-U1471A-1H-3-W,76,76,3.47,3.47,,,G,A,A,A,,A,,,,,,,,,,,,,C,,,,,C,,,,,R,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,1,H,3,W,11ffffdfd59765656071eeceb4f7fcfe
359-U1471A-1H-CC-PAL,0,5,4.57,4.62,,,G,A,C,A,,A,,,,,,,,,,,,,F,,,,,F,,,,,R,,,,,F,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,359,U1471,A,1,H,CC,PAL,f65af767f1b04d1c97d76a07b8c90740
359-U1471A-2H-1-W,75,75,5.35,5.35,,,G,A,C,C,,A,,,,,,,,,,,,,R,,,,,A,,,,R,R,R,,,,R,,,,,,,F,,,,R,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,359,U1471,A,2,H,1,W,890eaa7c6ece6f11bafac981d0b4eda7
359-U1471A-2H-2-W,75,75,6.85,6.85,,,M,C,R,A,,A,,,,,,,,,,,,,F,,,,,C,,,,R,R,R,,,,R,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,359,U1471,A,2,H,2,W,b345bb908a0825f200dd620ae965a8f6
359-U1471A-2H-3-W,75,75,8.35,8.35,,,G,A,F,A,,C,,,,,,,,,,,,,R,,,,,C,,,,R,R,R,,,,R,,,,,,,R,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,359,U1471,A,2,H,3,W,d20160c4669ec480b073594916464ff5
359-U1471A-2H-4-W,75,75,9.85,9.85,,,G,A,,A,,A,,,,,,,,,,,,,F,,,,,C,,,,R,R,,,,,F,,,,,,,R,,,,R,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,359,U1471,A,2,H,4,W,0598430de37de01f12028ce3742aa3c7
359-U1471A-2H-5-W,75,75,11.35,11.35,,,G,A,,A,,A,,,,,,,,,,,,,F,,,,,C,,,,R,R,,,,,C,,,,,,,F,,,,R,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,359,U1471,A,2,H,5,W,14e93f0519fd6cf063ad08761356b6a1
359-U1471A-2H-CC-PAL,0,5,11.7,11.75,,,G,A,,A,,A,,,,,,,,,,,,,C,,,,,F,,,,,F,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,2,H,CC,PAL,ab710d8be0f032c39f55b7c10a02d61d
