Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1460A-1F-1-PAL-NANNO,0,0,0.0,0.0,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,C,,,C,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,1,F,1,PAL,93d91f319ec9fe4b97b0801a8b160009
356-U1460A-1F-CC-PAL-NANNO,0,5,2.08,2.13,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,C,R,,R,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,1,F,CC,PAL,18d30b39e2c1a84bf34e2500092ae417
356-U1460A-2F-CC-PAL-NANNO,0,5,6.06,6.11,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,2,F,CC,PAL,caab603596bf418bc60a3420e868d414
356-U1460A-3F-CC-PAL-NANNO,0,5,11.32,11.37,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,A,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,356,U1460,A,3,F,CC,PAL,c856880df5f3ce541901a10c8445c7c4
356-U1460A-4F-CC-PAL-NANNO,0,5,15.9,15.95,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,4,F,CC,PAL,f0d969136f5c677ae0a1dcbf82585ac2
356-U1460A-5F-CC-PAL-NANNO,0,7,20.58,20.65,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1460,A,5,F,CC,PAL,1234157196e34cbadbdcf4aaf7c70691
356-U1460A-6F-CC-PAL-NANNO,0,5,25.34,25.39,,,G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,6,F,CC,PAL,fcf4683cf1b216531ecff89ffe1af260
356-U1460A-7F-CC-PAL-NANNO,0,10,30.1,30.2,,,G [P33],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,7,F,CC,PAL,3a15aa34aa91262371941dde49ccb225
356-U1460A-8F-CC-PAL-NANNO,0,5,34.95,35.0,,,G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,8,F,CC,PAL,595b88644f902a09d027a153d5279e1d
356-U1460A-9F-CC-PAL-NANNO,0,8,35.62,35.7,,,G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,P,,R,P,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,9,F,CC,PAL,4a2dd2ac02a6e3a1527e1b6e0f5ccbdd
