Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1465C-2F-1-W,115,115,56.15,56.15,,,G,C,,,,,,C,,,,R,,,,,F,,R,R,,,,R,,,,,F,,,,,R,,,,,,,R,,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,2,F,1,W,d4c5758ff11bd9aa26b35307eb5d884d
359-U1465C-2F-2-W,77,77,56.99,56.99,,,G,A,,,,,,R,,,,R,R,,,,,,,,,,,F,,,,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,2,F,2,W,29b542bb78eab0a9c73830796e9fbf67
359-U1465C-2F-CC-PAL,0,5,58.93,58.98,,,G,C,,,,,,F,,,,A,A,,,,F,,,R,,,,C,,,,,,,,,,R,,,,,,,R,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,2,F,CC,PAL,9ad66dcc86750647470fa3ecade28de9
359-U1465C-3F-1-W,80,80,60.5,60.5,,,G,C,,,,,,,,,,C,C,,,,C,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,3,F,1,W,d428da85d86d4351feead71103bb30bf
359-U1465C-3F-CC,0,5,63.46,63.51,,,G,C,,,,,,C,,,,R,R,,,,F,,,R,,,,A,,,,,,,,,,R,,,,,,,C,,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,3,F,CC,,b6555ef97291bd316a7ad219ba546f17
359-U1465C-4F-1-W,121,121,65.61,65.61,,,G,A,,,,,,R,,,,C,R,,,,F,,R,,,,,F,,,,,F,,,,,R,,,,,,,R,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,4,F,1,W,f150bf544e16e7b4649e8c9e644e052a
359-U1465C-4F-2-W,123,123,66.97,66.97,,,G,A,,,,,,F,,,,C,C,,,,F,,R,,,,,F,,,,,F,,,,,R,,,,,,,R,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,4,F,2,W,1be4eb8c25eb1d8e5e7db94ba2d11da3
359-U1465C-4F-CC-PAL,0,5,68.23,68.28,,,M,C,,F,,,,F,,,,C,C,,,,F,,,R,,,,R,,,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,4,F,CC,PAL,5064ed58ba98d1c04e3e4f4b498edd75
359-U1465C-5F-CC-PAL,0,5,72.69,72.74,,,G,A,,,,,,F,,,A,R,C,,,,,,,R,,,,R,,,,,R,,,,,R,,,,,,,F,R,,,F,F,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,C,5,F,CC,PAL,8c618ea4ac3da1ca07297d80325123d9
359-U1465C-15F-CC-PAL,0,5,125.5,125.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1465,C,15,F,CC,PAL,37c9902048872b5e7239750af1d0cdb0
359-U1465C-17X-CC-PAL,0,5,135.72,135.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1465,C,17,X,CC,PAL,d5867145f2e88f09d354e51fb114c530
359-U1465C-19X-CC-PAL,0,5,154.8,154.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1465,C,19,X,CC,PAL,50d1d6cbf6649b7acfe4475a218340a4
359-U1465C-20X-1-W,0,5,164.6,164.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1465,C,20,X,1,W,305bede88b86347e8eab4232c60d735b
