Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Foram abundance,Archaeoglobigerina australis,Archaeoglobigerina bosquensis,Archaeoglobigerina cretacea,Archaeoglobigerina mateola,Archaeoglobigerina sp.,Biticinella breggiensis,Clavihedbergella simplex,Contusotruncana fornicata,Contusotruncana plummerae,Costellagerina pilula,Dicarinella canaliculata,Dicarinella hagni,Dicarinella sp.,Falsotruncana maslakovae,Globigerinelloides alvarezi,Globigerinelloides asper,Globigerinelloides bentonensis,Globigerinelloides bollii,Globigerinelloides ehrenbergi,Globigerinelloides impensus,Globigerinelloides praevolutus,Globigerinelloides prairiehillensis,Globigerinelloides sp.,Globigerinelloides ultramicrus,Globotruncana arca,Globotruncana bulloides,Globotruncana linneiana,Globotruncana neotricarinata,Globotruncana ventricosa,Globotruncanella havanensis,Gublerina rajagopalani,Guembelitria cretacea,Hedbergella delrioensis,Hedbergella planispira,Hedbergella simplex,Hedbergella sliteri,Hedbergella sp.,Helvetoglobotruncana helvetica,Helvetoglobotruncana praehelvetica,Laeviheterohelix dentata,Laeviheterohelix pulchra,Marginotruncana angusticarenata,Marginotruncana coldreriensis,Marginotruncana coronata,Marginotruncana marginata,Marginotruncana pseudolinneiana,Marginotruncana spp.,Microhedbergella praeplanispira,Microhedbergella rischi,Microhedbergella sp.,Muricohedbergella crassa,Muricohedbergella delrioensis,Muricohedbergella flandrini,Muricohedbergella holmdelensis,Muricohedbergella planispira,Muricohedbergella praelibyca,Muricohedbergella sp.,Planoheterohelix globulosa,Planoheterohelix moremani,Planoheterohelix papula,Planoheterohelix planata,Planoheterohelix postmoremani,Planoheterohelix reussi,Planoheterohelix sp.,Praeglobotruncana delrioensis,Praeglobotruncana stephani,Pseudoguembelina hariaensis,Pseudotextularia elegans,Rugoglobigerina rugosa,Schackoina cenomana,Schackoina multispinata,Thalmanninella gandolfii,Ticinella madecassiana,Ticinella praeticinensis,Ticinella primula,Ticinella raynaudi,Ticinella sp.,Whiteinella aumalensis,Whiteinella baltica,Whiteinella brittonensis,Whiteinella paradubia,Whiteinella sp.,Acarinina alticonica,Acarinina angulosa,Acarinina coalingensis,Acarinina cuneicamerata,Acarinina esnaensis,Acarinina mckannai,Acarinina pentacamerata,Acarinina primitiva,Acarinina pseudotopilensis,Acarinina quetra,Acarinina soldadoensis,Acarinina subsphaerica,Acarinina wilcoxensis,Catapsydrax africanus,Catapsydrax dissimilis,Catapsydrax globiformis,Catapsydrax unicavus,Chiloguembelina crinita,Chiloguembelina cubensis,Chiloguembelina midwayensis,Chiloguembelina morsei,Chiloguembelina sp.,Chiloguembelina trinitatensis,Chiloguembelina wilcoxensis,Dentoglobigerina galavisi,Dentoglobigerina pseudovenezualana,Dentoglobigerina sellii,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Eoglobigerina eobulloides,Globanomalina australiformis,Globanomalina imitata,Globanomalina planocompressa,Globanomalina pseudomenardii,Globanomalina sp.,Globigerina angulisuturalis,Globigerina euapertura,Globigerina labiacrassata,Globigerinatheka barri,Globigerinatheka index,Globigerinatheka korotkovi,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinatheka sp.,Globigerinatheka tropicalis,Globoquadrina rohri,Globorotaloides quadrocameratus,Globorotaloides suteri,Guembelitrioides nuttali,Hantkenina dumblei,Igorina albeari,Igorina tadjikistanensis,Morozovella acuta,Morozovella aequa,Morozovella angulata,Morozovella aragonensis,Morozovella formosa,Morozovella quetra,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides crassatus,Morozovelloides lehneri,Paragloborotalia griffinoides,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia siakensis,Pearsonites broedermanni,Planorotalites pseudoscitula,Praemurica nikolsae,Praemurica taurica,Praemurica uncinata,Pseudohastigerina micra,Rectoguembelina cretacea,Subbotina angiporoides,Subbotina cancellata,Subbotina corpulenta,Subbotina eocaena,Subbotina gortanii,Subbotina hornibrooki,Subbotina linaperta,Subbotina patagonica,Subbotina roesnaesensis,Subbotina senni,Subbotina triloculinoides,Subbotina trivialis,Subbotina utilisindex,Subbotina velascoensis,Tenuitella gemma,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia frontosa,Turborotalia increbescens,Turborotalia pomeroli,Woodringina hornerstownensis,Zeauvigerina waiparaensis,Beella digitata,Dentoglobigerina altispira,Globigerina aequilateralis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina calida,Globigerina ciperoensis,Globigerina decoraperta,Globigerina druryi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerinella obesa,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides seiglei,Globigerinoides subquadratus,Globoconella conoidea,Globoconella conomiozea,Globoconella miozea,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoquadrina dehiscens dehiscens,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia margaritae,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia tumida,Globorotalia tumida flexuosa,Globoturborotalita apertura,Globoturborotalita brazieri,Globoturborotalita connecta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Hastigerina pelagica,Menardella limbata,Menardella menardii,Menardella multicamerata,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia pseudocontinuosa,Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinella disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella clemenciae,Tenuitella sp.,Trilobatus primordius,Trilobatus sacculifer,Trilobatus trilobus,Truncorotalia tosaensis,Truncorotalia truncatulinoides,General comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
369-U1513A-1H-2-W 146/150-PAL,0,4,2.96,3,Pt1b,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,F,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,R,,,,,,P,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,369,U1513,A,1,H,2,W
369-U1513A-1H-CC-PAL,0,5,5.32,5.37,Pt1a,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,F,,R,Rrw,,,,,F,C,,,,,,,C,,,,F,,C,,,,,F,C,C,,,,,,,,,,,,F,C,,,,,R,,,,,,,,,,,,,,,,R,C,P,,,,,,369,U1513,A,1,H,CC,PAL
369-U1513A-2H-4-W 109/113-PAL,0,4,10.92,10.96,Pt1a,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,R,,,,,,,F,,,,,,,,P,C,,,,,,,,,,,,,C,,,,,,P,,,,,,P,,,,,,,,R,,,,,P,,,,,,F,,,,,,,,,,P,,R,,,,,,369,U1513,A,2,H,4,W
369-U1513A-2H-CC-PAL,0,5,14.63,14.68,Pt1a,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,369,U1513,A,2,H,CC,PAL
369-U1513A-3H-CC-PAL,0,5,22.86,22.91,Pt1a,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,R,,,,F,F,,,,,,C,,,,,,,C,,,,C,,C,,,,,C,R,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,,,R,C,F,,,,,,369,U1513,A,3,H,CC,PAL
369-U1513A-4H-CC-PAL,0,5,33.78,33.83,Pl5,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,F,,,F,,,,,,C,,,,,,,C,,,,C,,F,,,,,F,F,,,,,,,,,,,R,,,,,,,F,F,,,,,,,,,,,,,,,,F,C,,,,,,,369,U1513,A,4,H,CC,PAL
369-U1513A-5H-3-W 146/150-PAL,0,4,38.26,38.3,PL4,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,A,5,H,3,W
369-U1513A-5H-CC-PAL,0,5,43.62,43.67,PL2,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,F,,,,,,F,,,,R,,,C,,,,C,,F,,R,,,C,,,,,,,,,,,,R,,,,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,369,U1513,A,5,H,CC,PAL
369-U1513A-6H-5-W 146/150-PAL,0,4,50.37,50.41,M14,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,P,,F,,,,,,,,,,,,P,,,,,,,,,,,,369,U1513,A,6,H,5,W
369-U1513A-6H-CC-PAL,0,5,52.78,52.83,M13b,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,P,R,P,,,,,,,,,P,P,,P,,,,,,,P,,F,,,,P,,R,,,,,R,F,,,,,,,,,,,R,R,,,,,R,,,,,,,369,U1513,A,6,H,CC,PAL
369-U1513A-7F-CC-PAL,0,5,57.19,57.24,M13b,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,F,F,,,,,,,,F,,,F,,,,,,,,P,A,,,,,,,,,,,P,P,,,,F,C,,,,,,,369,U1513,A,7,F,CC,PAL
