Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia birnageae,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1501C-11H-CC-PAL(39-44),0,5,104.86,104.91,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,368,U1501,C,11,H,CC,PAL,49bd6226fecdc513cde9e47d44fdeb2d
368-U1501C-12H-CC-PAL(28-33),0,5,113.92,113.97,Fohsella fohsi,T,,11.79,M10,"M10 - Globigerinella praesiphonifera Partial-range Zone (Gradstein et al., 2012)",,,11.63,,,11.79,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,368,U1501,C,12,H,CC,PAL,57258a9ec45a88843f4cf65cc6f5bfce
368-U1501C-13H-CC-PAL(21-26),0,5,123.78,123.83,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,P,P,,,,,,,P,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,368,U1501,C,13,H,CC,PAL,87269ed64e1a13afacbcfc8ee5c051f9
368-U1501C-14H-CC-PAL(21-26),0,5,131.48,131.53,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1501,C,14,H,CC,PAL,122c4288e10b97e1414f5f106ff1e7f0
368-U1501C-15H-CC-PAL(20-25),0,5,142.14,142.19,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,A,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1501,C,15,H,CC,PAL,3c98b11de1b63533edf3ff64f4cdf018
368-U1501C-16H-CC-PAL(26-31),0,5,151.75,151.8,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,R,,,,,,,R,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,16,H,CC,PAL,70887494eeeef22f6b415cd6bc40cee6
368-U1501C-17H-CC-PAL(0-5),0,5,156.7,156.75,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,D,,P,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,17,H,CC,PAL,ad4da92705afc3fc215680a2150e888b
368-U1501C-18F-CC-PAL,0,5,161.67,161.72,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,D,,P,,,P,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,18,F,CC,PAL,71b28ba0e5e78b8f03479034b73f4de8
368-U1501C-19F-CC-PAL(25-30),0,5,166.25,166.3,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,D,,P,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,19,F,CC,PAL,0df93a012859f76a09b53909025724f7
368-U1501C-20F-CC-PAL(23-28),0,5,169.92,169.97,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,D,,P,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,20,F,CC,PAL,a887bd1db166aa7d94b1a713592b749e
368-U1501C-21F-CC-PAL(23-28),0,5,175.92,175.97,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,D,,P,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,21,F,CC,PAL,8d25a474856fe97ce88ee66ad9a126ad
368-U1501C-22F-CC-PAL(23-28),0,5,180.55,180.6,Praeorbulina sicana,B,,16.38,M5a,"M5a - Praeorbulina sicana Lowest-occurrence Subzone (Gradstein et al., 2012)",,,16.27,,,16.38,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,F,,D,,R,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,22,F,CC,PAL,52d8a16fcf836002a32b968f438081a7
368-U1501C-23F-CC-PAL(27-32),0,5,184.4,184.45,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,,F,,D,,R,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,23,F,CC,PAL,1c9ea65a07c8410708b84e0fdb05845d
368-U1501C-24F-CC-PAL(10-15),0,5,189.42,189.47,Catapsydrax dissimilis,T,,17.54,M4a,"M4a - Dentoglobigerina venezuelana Partial-range Subzone (Gradstein et al., 2012)",,,16.69,,,17.54,,G,A,90,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,P,,,,,,F,,,,F,,F,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,24,F,CC,PAL,f9ff4a5b85911d10a925521dba8a4853
368-U1501C-25F-CC-PAL(0-5),0,5,193.3,193.35,,,,,,,,,,,,,,G,R,5,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,25,F,CC,PAL,297c1f807bbedcf13630351a39984bb9
368-U1501C-26F-CC-PAL(25-30),0,5,198.33,198.38,,,,,,,,,,,,,,G,A,90,,,,,,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,26,F,CC,PAL,ed01d9fcf82bafa46973adc9437ff00e
368-U1501C-27F-CC-PAL(29-34),0,5,204.03,204.08,Globoquadrina binaiensis,T,,19.09,M3,"M3 - Globigerinatella sp./Catapsydrax dissimilis Concurrent-range Zone (Gradstein et al., 2012)",,,17.54,,,19.3,,G,A,90,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,R,,F,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,27,F,CC,PAL,2d73048d315e038b5c288f83106296cb
368-U1501C-28F-CC-PAL(20-25),0,5,208.65,208.7,,,,,,,,,,,,,,G,A,90,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,,,F,,,,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,28,F,CC,PAL,9b00d127992c6916e2c6bc90d7694fa7
368-U1501C-29F-CC-PAL(17-22),0,5,212.67,212.72,Paragloborotalia kugleri,T,,21.12,M2,"M2 - Globoquadrina binaiensis Partial-range Zone (Gradstein et al., 2012)",,,19.3,,,21.12,,G,A,90,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,,,F,,,,P,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,29,F,CC,PAL,150de3fc925b1604955741fbd08ec0d9
368-U1501C-30F-CC-PAL(22-27),0,5,217.54,217.59,,,,,,,,,,,,,,G,A,90,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,,,F,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,30,F,CC,PAL,ad54d2b3d231c6544633b7765173b6aa
368-U1501C-31F-CC-PAL(19-24),0,5,221.53,221.58,,,,,,,,,,,,,,G,A,90,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,,,F,,,,R,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,31,F,CC,PAL,2565fd94c71fb01dd392299283b1b878
368-U1501C-32F-CC-PAL(24-29),0,5,226.42,226.47,,,,,,,,,,,,,,G,A,90,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,,,F,,,,R,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,32,F,CC,PAL,6f63b1e271916a39a1b1b48214a23309
368-U1501C-33F-CC-PAL(30-35),0,5,231.78,231.83,,,,,,,,,,,,,,G,A,90,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,F,,,,,,F,,,,P,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,33,F,CC,PAL,ce81580d86b0b103b0f452110b450dd2
368-U1501C-34F-CC-PAL(26-31),0,5,235.67,235.72,,,,,,,,,,,,,,G,A,90,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,F,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,34,F,CC,PAL,2e7b9da7378c40c1be584d0d425c1f79
368-U1501C-35F-CC-PAL(16-21),0,5,240.08,240.13,,,,,,,,,,,,,,G,C,10,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,P,,,,,,F,,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,35,F,CC,PAL,2e570b31c2a76707d1849db796175deb
368-U1501C-36F-CC-PAL(25-30),0,5,245.23,245.28,,,,,,,,,,,,,,M,R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,36,F,CC,PAL,a037e92039d96149399492780c1f122c
