Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1463B-1H-1-PAL-NANNO,0,0,0.0,0.0,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,C,C,C,,,,,,,,,,,,,,,,,,,,P,F,,,,,,,,F,,,,P,,,,,,R,,,F,,,,,,,356,U1463,B,1,H,1,PAL,58421ee0ae62da34becddceafa009eaa
356-U1463B-1H-CC-PAL-NANNO,0,10,7.78,7.88,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,C,,F,,,,,,,,,,F,,,,,,,,P,,,,,,,,,,P,,,F,,,few aragonite(?) needles,,,,356,U1463,B,1,H,CC,PAL,47b45cdfc6d1fdad7baf1749a9715c17
356-U1463B-3H-CC-PAL-NANNO,0,10,27.1,27.2,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,C,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,356,U1463,B,3,H,CC,PAL,da413d47280af83b6d70937bd21d2087
356-U1463B-4H-CC-PAL-NANNO,0,10,36.61,36.71,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,,F,R,F,,,,,,,,,P,,,,,,C,F,,,,,F,,,,,,,,R,,,,P,,,,,,R,,,F,,,,,,,356,U1463,B,4,H,CC,PAL,4db805bdfd62711e39bde754c2f0513f
356-U1463B-5H-CC-PAL-NANNO,0,10,46.03,46.13,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,,C,F,F,,,,,,,,,R,,R,,,,C,F,,,,,R,,,,,,,,,,,,P,,,,,,R,,,F,,,,,,,356,U1463,B,5,H,CC,PAL,67b0243203190ab656eb88d7766832d0
356-U1463B-7H-CC-PAL-NANNO,0,10,64.44,64.54,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,,C,F,F,,,,,,,,,F,P,,,,,C,C,,,,,R,,,,,,,,P,,,,P,,,,,,,,,F,,,,,,,356,U1463,B,7,H,CC,PAL,a00d4d5530723ba440cafbea4cc6742c
356-U1463B-9H-CC-PAL-NANNO,0,10,83.62,83.72,,,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,A,F,,C,R,F,,,,,,,,,C,P,R,,,,C,C,,,,,F,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,356,U1463,B,9,H,CC,PAL,cf2853be64acba664e59be10a006784b
356-U1463B-11H-CC-PAL-NANNO,0,12,101.77,101.89,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,C,R,F,,,,C,C,,,,,F,,,,,,,,F,,,,P,,,,,,P,,,F,,,,,,,356,U1463,B,11,H,CC,PAL,11b034da4600d16c25cf781b2caae4fa
356-U1463B-13H-CC-PAL-NANNO,0,10,121.95,122.05,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,F,,,,,,,,,,,F,,R,,,,C,C,,,,,F,,,,,,,,R,,,,R,,,,,,P,,,F,,,,,,,356,U1463,B,13,H,CC,PAL,57d3a0b9cd025f2284d6db3710b9f7ce
356-U1463B-15H-CC-PAL-NANNO,0,10,139.18,139.28,,,G [P33],A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,R,,R,,,,,,,,,,,F,,,,,,A,F,,,,,R,,,,,,,,F,,,,R,,,,,,R,,,R,,,,,,,356,U1463,B,15,H,CC,PAL,8703b471056edd4773f61a31d7cdfe23
