Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Globigerina angulisuturalis,Globigerina bulloides,Globigerina bulloides umbilicata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina sp.,Globigerinatella insueta,Globigerinella calida,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sp.,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hessi,Globorotalia hirsuta,Globorotalia ikbei,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia orientalis,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praeinflata,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia rikuchuensis,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita sp.,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina himiensis,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pseudopachyderma,Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Turborotalita humilis,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
346-U1425B-11H-CC-PAL,0,5,103.99,104.04,,,,P,R,65,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,11,H,CC,PAL,ee52dc1a02475e71805cacd819d3d8b5
346-U1425B-12H-1-PAL,0,5,104.56,104.61,,,,G,A,70,,,,,,A,F,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,A,F,,,F,,A,,A,R,,,,,R,,,,,,,,,,,,,,some of the specimens are yellow.,,,,346,U1425,B,12,H,1,PAL,9ba5e362fa655c942d50447ca8d5e93d
346-U1425B-13X-CC-PAL,0,5,106.26,106.31,,,,P,R,15,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,some of the specimens are yellow.,,,,346,U1425,B,13,X,CC,PAL,42b97593cc5e15a939a8f88ea83d74a5
346-U1425B-14H-CC-PAL,0,5,115.76,115.81,,,,P,R,26,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,some of the specimens are yellow.,,,,346,U1425,B,14,H,CC,PAL,5356beccdc22718003b4336c48a84a43
346-U1425B-15H-CC-PAL,0,3,115.5,115.53,,,,M,R,8,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,some of the specimens are yellow.,,,,346,U1425,B,15,H,CC,PAL,a52d5ea8dfce1902ee1acc14ee832ff9
346-U1425B-16X-CC-PAL,0,4,116.92,116.96,,,,G,R,30,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,some of the specimens are yellow.,,,,346,U1425,B,16,X,CC,PAL,8004e92a1aabae64e1ea4f07c60da277
346-U1425B-17H-CC-PAL,0,5,122.49,122.54,,,,P,R,18,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,,R,,,,R,,,,,,,,,,most of the specimens are yellow to orange.,,,,346,U1425,B,17,H,CC,PAL,4d654c122a3064cc121201d92495ba4f
346-U1425B-18H-CC-PAL,0,5,127.28,127.33,,,,P,R,20,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,most of the specimens are yellow to orange.,,,,346,U1425,B,18,H,CC,PAL,38e649671caae12f6d4e6d47b83c8a07
346-U1425B-19H-CC-PAL,0,6,131.17,131.23,,,,P,R,50,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,most of the specimens are yellow to orange.,,,,346,U1425,B,19,H,CC,PAL,159cf91e81d22449165eaee3e3760bf4
346-U1425B-20H-CC-PAL,0,6,136.66,136.72,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,20,H,CC,PAL,fb8664dfa5c7b3f89b9a9474c28b1274
346-U1425B-21H-CC-PAL,0,5,146.33,146.38,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,21,H,CC,PAL,1461c3aced8018e60d986f5e90abc393
346-U1425B-22H-CC-PAL,0,5,155.99,156.04,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,22,H,CC,PAL,31435c16b38b5c21c0b7d4ac2449f31f
346-U1425B-23H-CC-PAL,0,5,165.42,165.47,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,23,H,CC,PAL,f9ad60002aee71698f4a0eb83c163696
346-U1425B-24H-CC-PAL,0,5,174.99,175.04,,,,P,R,60,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,346,U1425,B,24,H,CC,PAL,356a88dfa2269d485711ffb61711f214
346-U1425B-25H-CC-PAL,0,5,184.47,184.52,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,25,H,CC,PAL,ea488f9015cc69efff8ee5331e1458fe
346-U1425B-26H-CC-PAL,0,5,194.05,194.1,,,,P,R,90,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,R,A,,R,,,,,,,,,,,,,,,,,,,,,346,U1425,B,26,H,CC,PAL,e410ce07137f66699bcc7252dbe156ac
346-U1425B-27H-CC-PAL,0,5,203.37,203.42,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,27,H,CC,PAL,ab86447462600933ba05c4367d7c849e
346-U1425B-28H-6-PAL,0,5,211.58,211.63,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,28,H,6,PAL,98f5f77f5beec852cf09a798ad80d33f
346-U1425B-29H-CC-PAL,0,5,221.26,221.31,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,29,H,CC,PAL,5bb25dd6eb109350bd37936373160818
346-U1425B-30H-CC-PAL,0,5,230.94,230.99,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,30,H,CC,PAL,7f7edc71f095364fb5f081683ac0e359
346-U1425B-32X-CC-PAL,0,5,235.46,235.51,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,32,X,CC,PAL,066110361c6a9f1a976d6aa911dfa660
346-U1425B-33H-CC-PAL,0,5,243.98,244.03,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,33,H,CC,PAL,fc50ea3df2cc3b79228cac3916e7e8d0
346-U1425B-35H-CC-PAL,0,5,262.68,262.73,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,35,H,CC,PAL,7cbc6c1b897bd2f14c10cbbda4ccfb0f
346-U1425B-36H-CC-PAL,0,5,267.72,267.77,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,36,H,CC,PAL,6177ff02d0f05fbe01933f609d857c8f
346-U1425B-37H-4-W 13/14-FORAM,0,1,271.74,271.75,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,37,H,4,W,74893ccbbe79b8c7290244f8d3d2a8d1
346-U1425B-37H-CC-PAL,0,5,272.44,272.49,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,37,H,CC,PAL,eccefa4d03b66dfa461a2c56796505a4
346-U1425B-38H-3-W 33/34-FORAM,0,1,275.51,275.52,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,38,H,3,W,4d479523481f0fe879074bffa8142041
346-U1425B-38H-CC-PAL,0,5,277.08,277.13,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,38,H,CC,PAL,2f25a956a13b4cffe157bcbf83427061
346-U1425B-39H-CC-PAL,0,6,281.91,281.97,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,39,H,CC,PAL,13a4691ce6e617d3b4e720e33027aae0
346-U1425B-40X-CC-PAL,0,5,288.19,288.24,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,40,X,CC,PAL,0a8dc9fd14de1cd57808079e56e9f917
346-U1425B-41H-CC-PAL,0,5,289.8,289.85,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,41,H,CC,PAL,a5da653e836f0eb8bc9d8dfe97ee6710
346-U1425B-42H-CC-PAL,0,5,294.53,294.58,,,,,R,1,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,42,H,CC,PAL,1291b325ca6ab88c4ca06b58cdab8238
346-U1425B-43H-CC-PAL,0,5,299.19,299.24,,,,,R,2,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,43,H,CC,PAL,a9b94162ac87c5a6b9cd5bcf64e42b39
346-U1425B-44H-CC-PAL,0,5,304.0,304.05,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,44,H,CC,PAL,66cc67c8ecef803a44a51d5731bced71
346-U1425B-45H-CC-PAL,0,5,308.71,308.76,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,45,H,CC,PAL,7efdd8aa665d52812cf9f4150e840e51
346-U1425B-46H-CC-PAL,0,5,313.32,313.37,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,46,H,CC,PAL,0e4775529c3906577a1ed67811c9f19b
346-U1425B-47H-CC-PAL,0,5,318.05,318.1,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,47,H,CC,PAL,dc27d6ca565b58dc78fe5cf8b6ce2192
346-U1425B-48H-CC-PAL,0,5,322.69,322.74,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,48,H,CC,PAL,24e0ef5c0ad908634b3ef1a29170a31a
346-U1425B-49H-CC-PAL,0,5,327.42,327.47,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,49,H,CC,PAL,387215411a49f2851d7fcee6a6633b8b
346-U1425B-50H-CC-PAL,0,5,332.15,332.2,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,50,H,CC,PAL,03878b3374b433345b2ca756ed39f123
346-U1425B-51H-CC-PAL,0,5,336.86,336.91,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,51,H,CC,PAL,b2af182579aff229e4d32975b48437de
346-U1425B-52H-CC-PAL,0,5,341.52,341.57,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,52,H,CC,PAL,f4204909d722e61cf2375365430a5706
346-U1425B-53H-CC-PAL,0,5,346.3,346.35,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,53,H,CC,PAL,0a409ed553f463783963c5220755506a
346-U1425B-54H-CC-PAL,0,5,351.2,351.25,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,54,H,CC,PAL,b6adfb7ed8bee4456cd4a9f6f175142c
346-U1425B-55X-CC-PAL,0,5,360.22,360.27,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,55,X,CC,PAL,40627e3485c8421d8faead24e3f0d3d2
346-U1425B-56X-CC-PAL,0,5,366.02,366.07,,,,P,R,100,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,56,X,CC,PAL,8a18ce85af2467c48d9860bf581903c3
346-U1425B-57X-CC-PAL,0,5,369.47,369.52,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,57,X,CC,PAL,152997d53d0da82c4f09ff5fb301a2f9
346-U1425B-58X-CC-PAL,0,5,378.35,378.4,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,58,X,CC,PAL,a98478b783e130fdeb9e1dfb451e9752
346-U1425B-59X-CC-PAL,0,2,394.51,394.53,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,59,X,CC,PAL,cc36db5c0b586b6dc9b1437609935cac
346-U1425B-60H-CC-PAL,0,5,402.45,402.5,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,60,H,CC,PAL,f23093eb6fa2c3a5304826c4101abad2
346-U1425B-61X-CC-PAL,0,4,403.83,403.87,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,B,61,X,CC,PAL,c4aa93bf61055028d3181fb45f9b033c
