Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina acarinata,Acarinina bullbrooki,Acarinina coalingensis,Acarinina collactea,Acarinina cuneicamerata,Acarinina mcgowrani,Acarinina mckannai,Acarinina pentacamerata,Acarinina primitiva,Acarinina sibaiyaensis,Acarinina soldadoensis,Acarinina strabocella,Acarinina subsphaerica,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globanomalina australiformis,Globanomalina compressa,Globanomalina imitata,Globanomalina pseudomenardii,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina woodi,Globigerinatella sp.,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia incognita,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia zealandica,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina singanoae,Igorina albeari,Igorina broedermanni,Igorina pusilla,Morozovella acuta,Morozovella aequa,Morozovella angulata,Morozovella aragonensis,Morozovella conicotruncata,Morozovella formosa,Morozovella gracilis,Morozovella lensiformis,Morozovella marginodentata,Morozovella praeangulata,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides crassatus,Morozovelloides lehneri,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina nympha,Orbulina suturalis,Orbulina universa,Orbulinoides beckmanni,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia opima,Paragloborotalia pseudokugleri,Parasubbotina pseudobulloides,Parasubbotina varianta,Parasubbotina variospira,Parvularugoglobigerina eugubina,Parvularugoglobigerina extensa,Planorotalites palmerae,Planorotalites spp.,Praemurica inconstans,Praemurica uncinata,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pseudohastigerina micra,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina angiporoides,Subbotina linaperta,Subbotina triloculinoides,Subbotina velascoensis,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalia altispiroides,Turborotalia cerroazulensis cerroazulensis,Turborotalia cunialensis,Turborotalia frontosa,Turborotalia pomeroli,Turborotalia possagnoensis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
354-U1455C-1H-CC-PAL-FORAM,0,5,8.39,8.44,,,,,,,,,,A,M [P38],VS [F02],97,4,present,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,1,H,CC,PAL,891e0237fc438178b224159ee4b4faca
354-U1455C-2H-CC-PAL-FORAM,0,6,17.57,17.63,,,,,,,,,,R,M [P38],S [F02],59,3,present,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,2,H,CC,PAL,2e929c85df388e7b4da80ed1ad0fb443
354-U1455C-3H-CC-PAL-FORAM,0,5,23.2,23.25,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,3,H,CC,PAL,58435a23b23639db42fb37ccda752bce
354-U1455C-4F-CC-PAL,0,5,27.76,27.81,,,,,,,,,,C,G [P38],L [F02],98,1,absent,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,R,,,,R,,R,,,,,C,C,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,,,,,,,,,,,,,,,,,,,,354,U1455,C,4,F,CC,PAL,c7a951b2507cd031b0299f09f99ee3f0
354-U1455C-5F-CC-PAL-FORAM,0,5,32.58,32.63,,,,,,,,,,VR,G [P38],L [F02],100,1,absent,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,R,R,,,,,,,,,R,C,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,5,F,CC,PAL,0d678791c592ffa8092336f0dd68a232
354-U1455C-6F-CC-PAL-FORAM,0,6,36.59,36.65,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,6,F,CC,PAL,296adc488d4e6721c97d0c9fbaba9ec6
354-U1455C-7F-3-W 37/42-FORAM,0,5,40.68,40.73,,,,,,,,,,A,M [P38],S [F02],85,3,absent,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,R,,R,R,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,7,F,3,W,b0bf9e851cb0ca670d5e78a02025ece5
354-U1455C-7F-CC-PAL-FORAM,0,5,42.19,42.24,,,,,,,,,,A,G [P38],S [F02],98,3,present,present,,,also rare orbulina bilobatus and Globorotalia ungulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,A,,F,R,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,7,F,CC,PAL,c0c33644e138f02ba7c68b2bce55c4cd
354-U1455C-8F-2-W 86/91-FORAM-FORAM(63-150),0,5,44.36,44.41,,,,,,,,,,C,G [P38],M [F02],100,2,absent,absent,,,also rare Globigerina rubescens and Globorotalia ungulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,A,,C,,,,,R,,,,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,8,F,2,W,56e4e0ca0b9c3222d69bdc3e71623cb4
354-U1455C-8F-CC-PAL-FORAM,0,5,46.91,46.96,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1455,C,8,F,CC,PAL,2ade387ded8b23db3425973c6ad5833c
