Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1467C-24X-1-W,25,25,578.85,578.85,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,24,X,1,W,255dd2008da6b4865aebb8fc4373ff7c
359-U1467C-24X-CC-PAL,0,5,580.43,580.48,,,M,R,,,,,,,,R,P,,,,,,P,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. orientalis is present of abundant,,,,359,U1467,C,24,X,CC,PAL,38384e40919cf207c431f329ebc6eea0
359-U1467C-25X-2-W,25,25,589.12,589.12,,,M,C,,,,,,,,C,R,R,,,,,P,,,P,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,C,25,X,2,W,5621e06c61e1d6e2e445367cbab2763b
359-U1467C-25X-CC-PAL,0,5,590.28,590.33,,,P,F,,,,,,,,F,R,R,,,,,R,,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. orientalis is present of abundant,,,,359,U1467,C,25,X,CC,PAL,c7a8ff9347e35dfb6fdc511c97d93b81
359-U1467C-26X-2-W,128,128,600.51,600.51,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,26,X,2,W,18e095098ccc8aa683308f181fcf09db
359-U1467C-26X-CC-PAL,0,5,602.37,602.42,,,M,C,,,,,,,,C,R,R,,,,,R,,,R,,,,,P,P,,,,,,,,P,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. orientalis is present of abundant,,,,359,U1467,C,26,X,CC,PAL,e5b2ea026b9c0079c6f72f07d97a185b
359-U1467C-27X-1-W,64,64,608.34,608.34,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,27,X,1,W,7955c72bc34c6fa1d6a094febe69177c
359-U1467C-27X-CC-PAL,0,5,610.13,610.18,,,M,C,,,,,,,,C,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. orientalis is present of abundant,,,,359,U1467,C,27,X,CC,PAL,435f1c03d62b2d5f2433574d9d291fcf
359-U1467C-28X-2-W,81,81,619.72,619.72,,,M,A,,,,,,,,C,C,F,F,,,,F,,F,R,,,,,F,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,28,X,2,W,14cb1420008d79a1e9fce81bf3d13cb5
359-U1467C-28X-CC-PAL,0,5,620.47,620.52,,,M,C,,,,,,,,C,C,R,R,,,,R,,,R,,,,,R,R,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. orientalis is rare of abundant,,,,359,U1467,C,28,X,CC,PAL,233f54ba0508602f4010ff68ab9122dd
359-U1467C-29X-CC-PAL,0,5,636.85,636.9,,,M,C,,,,,,,,C,R,R,C,,,,R,,,R,,,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. orientalis is rare of abundant,,,,359,U1467,C,29,X,CC,PAL,eb41ad2fa9de1ba7f4e91e8c0f952a02
359-U1467C-30X-5-W,98,98,643.78,643.78,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,30,X,5,W,458ebc273a1d8e874fa8bff886dedc0a
359-U1467C-30X-CC-PAL,0,5,645.42,645.47,,,M,C,,,,,,,,F,C,R,R,,,,R,,P,R,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,30,X,CC,PAL,791b4747a55d068ef5141c3339eb4a46
359-U1467C-31X-3-W,84,84,650.35,650.35,,,G,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,31,X,3,W,ec220099bc3b211168c8fbdfc401b37c
359-U1467C-31X-CC-PAL,0,5,650.89,650.94,,,M,C,,,,,,,,F,R,R,F,,,,R,,P,R,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,31,X,CC,PAL,9bbc0a85778da24660939250ac6132af
359-U1467C-32X-3-W,70,70,659.9,659.9,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,32,X,3,W,02473e23b6c7570fab5772f3a8a4d598
359-U1467C-32X-3-W,82,82,660.02,660.02,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,32,X,3,W,d3cc4ff3a114ce33e81bd4296e956f1f
359-U1467C-32X-CC-PAL,0,5,663.53,663.58,,,M,C,,,,,,,,R,F,R,R,P,,,R,,R,,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,32,X,CC,PAL,e828d8f66ebc0a85a1007c67a6080c01
359-U1467C-33X-CC-PAL,0,5,669.74,669.79,,,P,C,,,,,,,,F,R,R,,,,,R,,,,,,,,R,R,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,33,X,CC,PAL,3a1062ca1116f55fa0b8df1241066569
359-U1467C-34X-CC-PAL,0,5,678.64,678.69,,,M,C,,,,,,,,C,R,R,,,,,R,,,P,,,,R,,R,P,,,,,,,R,,,,,,,R,P,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,34,X,CC,PAL,740f9404c984d54b515a4662056844f9
359-U1467C-35X-CC-PAL,0,5,687.25,687.3,,,M,C,,,,,,,,R,R,R,,,,,R,,,,,,,R,,R,P,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE DISCOASTER 5 RAYS,,,,359,U1467,C,35,X,CC,PAL,b3a35e0ec65ee925f352c418246db899
359-U1467C-36X-6-W,20,20,702.7,702.7,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,P,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1467,C,36,X,6,W,835471b9efe8b900319d035692c783c4
359-U1467C-36X-CC-PAL,0,5,704.61,704.66,,,G,A,,,,,,,,R,R,R,R,,,,R,,,,,,,,,R,R,,,,,,P,R,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,36,X,CC,PAL,928cfc344eb430bd3dcb723a25336f7a
359-U1467C-37X-CC-PAL,0,5,707.87,707.92,,,M,A,,,,,,,,C,R,R,,,,,R,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,C,37,X,CC,PAL,fc8963cb0244d30e0ea4cc2b8cdca116
