Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
354-U1454B-1H-CC-PAL-FORAM,0,5,7.05,7.1,,,,,,,,,C,G [P38],L [F02],99,1,,,,R,,,,,R,,R,,F,,,,,,,,F,F,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,F,,,,C,,R,,,,,R,,,R,R,,,,,,,,,,354,U1454,B,1,H,CC,PAL,05ffc034e8143cbe465ed35f2fb6b07f
354-U1454B-2H-CC-PAL-FORAM,0,5,15.98,16.03,,,,,,,,,F,M [P38],M [F02],43,2,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,C,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,2,H,CC,PAL,0d25faf989a054b654d4688c7df98e39
354-U1454B-3H-CC-PAL-FORAM,0,5,25.4,25.45,,,,,,,,,C,P [P38],S [F02],98,3,,,,,,,,,F,,R,,,R,,,,,,,F,F,,,,R,,,,,,,,,,,,R,,,,,,,,F,R,,,,R,,,,C,,F,,,,,R,,,,,,,,,,,,,,354,U1454,B,3,H,CC,PAL,01481d942d61412baaddbc7aaaaff4a8
354-U1454B-4H-CC-PAL-FORAM,0,4,31.46,31.5,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,4,H,CC,PAL,0823069e5a5f814bdd66d395bc9c1556
354-U1454B-5F-CC-PAL-FORAM,0,3,34.51,34.54,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,5,F,CC,PAL,b86b3bdf6f67ad1044730063dfe33f64
354-U1454B-6F-CC-PAL-FORAM,0,5,37.93,37.98,,,,,,,,,B,,,,,,,Bivalve shell fragments present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,6,F,CC,PAL,39e3392093e16736b8f7cbd1bc864353
354-U1454B-7F-CC-PAL-FORAM,0,5,43.38,43.43,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,7,F,CC,PAL,c0d364576187a32e723df2dd91fadbdf
354-U1454B-8F-CC-PAL,0,7,48.49,48.56,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,8,F,CC,PAL,38f2f0d9263d01403bccabb13859bc90
354-U1454B-9F-CC-PAL,0,5,53.13,53.18,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,9,F,CC,PAL,7342c009ef60a6480a7942c828299d27
354-U1454B-10F-CC-PAL-FORAM,0,5,57.42,57.47,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,10,F,CC,PAL,58d11499568e8d897987dca51e78f8d3
354-U1454B-11F-CC-PAL-FORAM-FORAM(>63),0,5,62.8,62.85,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,11,F,CC,PAL,de7814dac35a79d80b42b75b969a41c5
