Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Percentage of planktic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina bullbrooki,Acarinina cuneicamerata,Acarinina praetopilensis,Acarinina punctocarinata,Acarinina sibaiyaensis,Acarinina soldadoensis,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Chiloguembelina cubensis,Chiloguembelina sp.,Clavatorella bermudezi,Clavatorella nicobarensis,Clavigerinella sp.,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Fohsella birnageae,Fohsella fohsi,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globanomalina compressa,Globanomalina pseudomenardii,Globigeriantella insueta,Globigerina aequilateralis,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina conglomerata,Globigerina cryptomphala,Globigerina euapertura,Globigerina falconensis,Globigerina linaperta,Globigerina praebulloides,Globigerina pseudodruryi,Globigerina senni,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinatheka sp.,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides altiapertura,Globigerinoides bisphericus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconusa daubjergensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina tripartita,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia bermudezi,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miocenica,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita brazieri,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina sp.,Morozovella angulata,Morozovella aragonensis,Morozovella formosa,Morozovella sp.,Morozovella spinulosa,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides bandyi,Morozovelloides crassatus,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Orbulina bilobata,Orbulina suturalis,Orbulina universa,Orbulinoides beckmanni,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudokugleri,Paragloborotalia siakensis,Parasubbotina pseudobulloides,Parasubbotina sp.,Parvularugoglobigerina eugubina,Planorotalites compressa,Praemurica inconstans,Praemurica uncinata,Praeorbulina glomerosa,Praeorbulina sicana,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Pulleniatina (D),Pulleniatina (S),Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Streptochilus sp.,Subbotina sp.,Subbotina triloculinoides,Tenuitella gemma,Truncorotaloides rohri,Truncorotaloides spp.,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia frontosa,Turborotalita humilis,Benthic Foraminifera group,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1457B-1H-CC-PAL-FORAM,0,5,3.17,3.22,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,,P,,,R,,,,,R,,,,,,,,A,,A,F,,,,,R,,,,,,,,,,,P,,,,,,P,,,,,,R,,,,,,,,,P,,,R,P,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,1,H,CC,PAL
355-U1457B-2H-CC-PAL-FORAM,0,5,12.49,12.54,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,F,,,,,P,,,,,,,,A,P,A,F,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,P,P,,R,P,,P,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,R,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,2,H,CC,PAL
355-U1457B-3H-CC-PAL-FORAM,0,5,21.64,21.69,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,P,,,P,,,,,,,,,R,,,F,,,,,,,,,,,,,A,,A,F,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,3,H,CC,PAL
355-U1457B-4H-CC-PAL-FORAM,0,5,31.14,31.19,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,A,,A,F,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,4,H,CC,PAL
355-U1457B-5H-CC-PAL-FORAM,0,5,40.23,40.28,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,R,,,,,P,,,,,,,,A,,A,F,,,,P,R,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,R,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,5,H,CC,PAL
355-U1457B-6H-CC-PAL-FORAM,0,5,50.32,50.37,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,A,P,A,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,F,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,6,H,CC,PAL
355-U1457B-7H-CC-PAL-FORAM,0,5,59.35,59.4,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,7,H,CC,PAL
355-U1457B-8H-CC-PAL-FORAM,0,5,68.51,68.56,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,,A,A,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,8,H,CC,PAL
355-U1457B-9H-CC-PAL-FORAM,0,5,79.39,79.44,,,,,,,,,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,F,,A,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,9,H,CC,PAL
355-U1457B-10H-CC-PAL-FORAM,0,5,87.7,87.75,,,,,,,,,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,R,,,,,P,,,,,,,,A,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,R,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,10,H,CC,PAL
355-U1457B-12H-CC-PAL-FORAM,0,5,99.1,99.15,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,12,H,CC,PAL
355-U1457B-13H-CC-PAL-FORAM,0,5,108.56,108.61,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,F,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,B,13,H,CC,PAL
355-U1457B-14F-CC-PAL-FORAM,0,5,115.36,115.41,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,355,U1457,B,14,F,CC,PAL
