Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp.,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461D-2R-CC-PAL-FORAM-150-2000,0,10,456.26,456.36,P,R,43,,,,,"heavy encrustation of foraminifera, very low foraminifera abundance, gastropods abundant, bibvalves few, ostracods present",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30540371,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30540371,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30540371,",356,U1461,D,2,R,CC,PAL,f356df3f4570b785e9925383276061b7
356-U1461D-5R-CC-PAL-FORAM-150 2000,0,10,510.28,510.38,P,R,66,,,,,Very heavily fragmented and encrusted. Some rust. Ostracods present.,0,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,A,,,,,,,P,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30546151,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30546151,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30546151,",356,U1461,D,5,R,CC,PAL,913a64b792ec8d49b5a46904a3fbff4a
356-U1461D-7R-CC-PAL-FORAM-150 2000,0,10,566.82,566.92,P,R,24,,,,,Very heavily fragmented and encrusted. Foram abundance low. Ostracods present.,0,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30547231,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30547231,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30547231,",356,U1461,D,7,R,CC,PAL,e4eeefb09288eaa717b4a9adc16d9445
356-U1461D-37R-CC-PAL-FORAM-150-2000,0,10,865.36,865.46,G,C,8,,,,,"Some iron infilling, Ostracods present.",0,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,P,,R,,,,P,,,A,,,P,,,,,,F,,,,,,,P,,,,,,,,F,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,F,D,R,,,,,,,R,,,,,,,,,,,,P,,,,,,R,,,,,,A,,F,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30653461,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30653461,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30653461,",356,U1461,D,37,R,CC,PAL,7537e9a76f34fb132bdc1a4c7ccc5431
356-U1461D-39R-CC-PAL-FORAM-150-2000,0,7,883.79,883.86,M,,11,,,,,Ostracods present,0,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,P,,,R,,A,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,A,,,,,,,,,,,,,,R,,,,,,,R,P,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,356,U1461,D,39,R,CC,PAL,5afbf4348c76e18885d2acb70a1a00f9
356-U1461D-41R-CC-PAL-FORAM-150-2000,0,10,904.62,904.72,M,,12,,,,,large pyrite minerals present,0,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,,,P,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,D,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30610761,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30610761,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30610761,",356,U1461,D,41,R,CC,PAL,17ba54cdc038cfd09714f9cb79c400dd
356-U1461D-43R-CC-PAL-FORAM-150-2000,0,10,918.11,918.21,M,F,11,,,,,Ostracods present. Large amounts of rust encrusting and infilling forams,0,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,,,,,,,,,,,,P,,,,,,F,,,R,,,,,,,P,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,F,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30623341,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30623341,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30623341,",356,U1461,D,43,R,CC,PAL,c715bd74df3db335df6997179dab6c46
356-U1461D-45R-CC-PAL-FORAM-150-2000,0,10,943.05,943.15,P,F,6,,,,,Ostracods present. Large amounts of rust encrusting and infilling forams,0,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,A,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30626791,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30626791,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30626791,",356,U1461,D,45,R,CC,PAL,7ff2e8f2f5cf4f8cd7452f421bc7417c
356-U1461D-47R-CC-PAL-FORAM-150-2000,0,4,953.19,953.23,M,F,9,,,,,Ostracods present. Large amounts of rust encrusting and infilling forams,0,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,P,,,F,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30625201,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30625201,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30625201,",356,U1461,D,47,R,CC,PAL,af6a4150323bf3439ff2197ff1e1c684
356-U1461D-49R-CC-PAL-FORAM-150 2000,0,10,980.36,980.46,P,R,10,,,,,Very high fratmentation with almost no complete specimens.,0,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,F,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30628771,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30628771,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30628771,",356,U1461,D,49,R,CC,PAL,e14c312c99b2e050b302058d089bda37
