Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Group abundance,Preservation,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample,eodp_id
361,U1479,B,1,1-1,H,1,W,70/72-FORAM,0,2,0.7,0.72,,A,G,,,P,P,P,P,P,P,P,,,,,P,P,,,,P,,,P,P,,,P,,,,,,P,P,,,P,,,,,,,,,P,,P,,P,P,,,,,,,,,,361-U1479B-1H-1-W 70/72-FORAM,e1ac3c3ea84256e24e5d78c3d4f0823f
361,U1479,B,1,1-3,H,3,W,70/72-FORAM,0,2,3.7,3.72,,A,G,P,,P,P,P,,P,P,P,,,,,P,P,,,,P,,,P,P,,,P,,,,,,,P,,,P,,,,,,,,,P,,P,,P,P,,,,,,,,,,361-U1479B-1H-3-W 70/72-FORAM,75add2965f6f4340eb452c415c4aa7ef
361,U1479,B,1,1-CC,H,CC,PAL,FORAM,0,5,6.2,6.25,,A,G,,,A,R,P,,P,R,,,,,,R,,,,,F,,,,D,,,P,,,,,,,R,,,R,P,,,,,,,,A,,A,P,P,,,,,,,,,,,361-U1479B-1H-CC-PAL-FORAM,6fb8f0511986551b2917772a09b7dc3a
361,U1479,B,2,2-1,H,1,W,60/62-FORAM,0,2,6.8,6.82,,A,M,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,P,P,,,P,,,,,,P,P,,,P,P,,,,,,,,P,,P,,P,P,,,,,,,,,,361-U1479B-2H-1-W 60/62-FORAM,c0b2ffa563133f803d3f2d08f63114f7
361,U1479,B,2,2-3,H,3,W,70/72-FORAM,0,2,8.93,8.95,,A,G,,,P,P,P,P,P,P,,,,,P,P,P,,,,P,,,,P,,,P,,,,,,P,P,,,P,P,P,,,,,,,P,,P,,P,P,,P,,,,,,,,361-U1479B-2H-3-W 70/72-FORAM,dcddc32520314ca469ff1dde33120380
361,U1479,B,2,2-5,H,5,W,70/72-FORAM,0,2,11.9,11.92,"B Globorotalia hirsuta (Gradstein et al., 2012)",A,G,P,,P,P,P,,P,P,,,,,P,P,P,,,,P,P,,P,P,,,P,,,,,,P,P,,,P,P,,,,,,,,P,,P,,P,P,,,,,,,,,,361-U1479B-2H-5-W 70/72-FORAM,d081f5e01ff1e9f8cbed323253f85475
361,U1479,B,2,2-CC,H,CC,PAL,FORAM,0,5,13.7,13.75,"T Globorotalia tosaensis (Gradstein et al., 2012)",A,G,,,F,F,R,,R,P,R,,,,,R,A,,,,F,,,,A,,,R,,,,,,,R,,R,F,,,,,,,,,A,,A,,R,R,,P,,,,,,,,361-U1479B-2H-CC-PAL-FORAM,b27efdc849760d335aa00cd085591d19
361,U1479,B,3,3-1,H,1,W,70/72-FORAM,0,2,16.4,16.42,,A,G,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,D,,,R,,,,,,P,R,,R,F,,,,,,,,,A,,A,,R,P,,,,,,,,,,361-U1479B-3H-1-W 70/72-FORAM,71394c61c732ee26e4329dca938a29c1
361,U1479,B,3,3-3,H,3,W,70/72-FORAM,0,2,19.4,19.42,,A,G,,,R,,,,,P,,,,,,R,R,,,,P,,,,A,,,P,,,,,,,,,P,F,,,,,,,,,R,,A,,,P,,R,,,,,,,,361-U1479B-3H-3-W 70/72-FORAM,1f9ebeaf0582ad23abdfa2af4791a44a
361,U1479,B,3,3-5,H,5,W,70/72-FORAM,0,2,22.4,22.42,,A,G,,,R,,,,,P,,,,,,R,R,,,,P,,,,A,,,P,,,,,,,P,,P,F,,,,,,,,,R,,A,,,P,,R,,,,,,,,361-U1479B-3H-5-W 70/72-FORAM,2303ec6b1143e35d111fd5ca9204ed19
