Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1466A-3H-3-W,10,10,17.6,17.6,,,G,F,,,,,F,R,,,C,R,,,,,,,F,,,,,R,,R,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,3,H,3,W,61ffb41d75fe8733660093d42c796a7b
359-U1466A-3H-5-W,10,10,20.6,20.6,,,M,F,,R,,,,,,,F,C,C,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,3,H,5,W,88c9263581f7d288b7befd0446fe3f55
359-U1466A-3H-CC-PAL,0,5,23.86,23.91,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,A,C,,,F,,,,A,C,,,,,,R,,,,,F,,F,,,,,,,,,,,,,,,,,,,A,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1466,A,3,H,CC,PAL,5486dd502020e00433d23b7744fbb303
359-U1466A-4H-1-W,10,10,24.1,24.1,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,C,,,,,,C,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,4,H,1,W,50d5939cd3aa539fc11c8aee9dcff5c8
359-U1466A-4H-3-W,10,10,26.94,26.94,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,,,,,C,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,4,H,3,W,63991bed3b3f023110d18d4390835eb8
359-U1466A-4H-5-W,10,10,29.94,29.94,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,,,,,C,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,4,H,5,W,be145212c16682ada942a41e0f94a1fb
359-U1466A-4H-CC-PAL,0,5,32.97,33.02,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,F,C,,,F,,,,F,F,,,,,,R,,,,,F,,R,,,,F,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,359,U1466,A,4,H,CC,PAL,68d5f67085dc2ff139ccf4e9c2cf0296
359-U1466A-5H-1-W,59,59,34.09,34.09,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,5,H,1,W,91bd0f35438064723293b9997bf72b8f
359-U1466A-5H-3-W,81,81,37.31,37.31,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,5,H,3,W,dbcaff478a183acd343fdf6054bbd86a
359-U1466A-5H-5-W,43,43,39.93,39.93,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,5,H,5,W,dbf2f4fd036c87686affe2ac4ca0fa84
359-U1466A-5H-CC-PAL,0,5,42.96,43.01,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",P,F,,F,,,,,P,,,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,5,H,CC,PAL,552ce224bf04764f6815efd9a3f1bd8e
359-U1466A-6H-2-W,52,52,45.02,45.02,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,359,U1466,A,6,H,2,W,58f22f28c8a1993fedebad237635aa2f
359-U1466A-6H-3-W,119,119,47.19,47.19,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,359,U1466,A,6,H,3,W,ac5398f93c93c9d1035d70e0a60cb5d8
359-U1466A-6H-5-W,55,55,49.55,49.55,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,359,U1466,A,6,H,5,W,c532d3995a6c6fe74958c8a539f10e61
359-U1466A-6H-CC-PAL,0,5,52.21,52.26,,,G,A,,,R,,,A,C,,,C,,,,,F,,C,,,,,C,,,,,C,R,,,,C,,,,,,,,,,,,C,,,F,,R,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,6,H,CC,PAL,9cf7b8748c16cd5bf683e110744807f5
359-U1466A-7H-1-W,111,111,53.61,53.61,,,M,C,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,7,H,1,W,a76f479c41e8e0dae0ef28c14eccf9ef
359-U1466A-7H-3-W,88,88,56.38,56.38,,,M,C,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,7,H,3,W,5b2317aa4a1625bf32ebfaa724917117
359-U1466A-7H-5-W,106,106,59.56,59.56,,,M,C,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,7,H,5,W,e1b55f837784e3eafa03b9d0e8b4bac2
359-U1466A-7H-CC-PAL,0,5,61.16,61.21,,,M,C,,F,,,,,,,,C,C,,,,,,F,,,,,,R,R,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,359,U1466,A,7,H,CC,PAL,c74c35b30c6b4652b70b5a5eb9edaec4
359-U1466A-8H-CC-PAL,0,5,71.32,71.37,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,8,H,CC,PAL,0c400921b619fbbcf3bc498fff57e7a0
359-U1466A-9H-2-W,21,21,72.92,72.92,,,M,F,,,,,,,,P,C,C,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentifiable 5 rays Discoster,,,,359,U1466,A,9,H,2,W,fbd9e638db475a33cb449f97c7bbd91e
359-U1466A-9H-4-W,119,119,76.69,76.69,,,M,F,,,,,,,,,,C,C,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,9,H,4,W,08ae9eb4b15655afd731ed14a0ef4608
359-U1466A-9H-5-W,101,101,78.01,78.01,,,G,C,,,,,,,,P,R,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,9,H,5,W,bd92ee82ec0e1d5c5a36b8e154e412cb
359-U1466A-9H-CC-PAL,0,5,79.94,79.99,,,P,R,,F,,,,,,,,F,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,9,H,CC,PAL,4a6c26ba70d7ae88d892ccfaf037b315
359-U1466A-10H-4-W,21,21,85.26,85.26,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,10,H,4,W,6573ad2f81055e172259c0392230094c
359-U1466A-10H-5-W,11,11,85.65,85.65,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,10,H,5,W,558823911c0b455aa29c9bf244d329c8
359-U1466A-10H-5-W,132,132,86.86,86.86,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,10,H,5,W,ac2e708dd74468a948ade7aed02611bd
359-U1466A-10H-CC-PAL,0,5,88.43,88.48,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,A,,,,,,,,,,A,A,,,,,,F,,,,,,,F,,,,,,,,F,,,,,,,R,,,,R,,,,,,,,,P,,,,,,,P,P,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,10,H,CC,PAL,9003e05484f76f03d9f8a50088cf3082
359-U1466A-11H-1-W,32,32,88.82,88.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,11,H,1,W,ce6a5cebd8863c30e2e33c37ff8ee0e1
359-U1466A-11H-2-W,4,5,89.37,89.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,11,H,2,W,c4c5da2a6d7e48ed625cf6068a7f90a4
359-U1466A-11H-CC-PAL,0,5,95.78,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,11,H,CC,PAL,2b21ac9d1532d7ce1f3cd2270d9fccd3
359-U1466A-12F-3-W,88,88,98.61,98.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,12,F,3,W,c687f20342b8a918bfd8ed32bbf06077
359-U1466A-12F-CC-PAL,0,5,99.38,99.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,12,F,CC,PAL,7f1725e2a797749a91e8cf709d08e6b4
359-U1466A-13H-3-W,90,90,104.4,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,13,H,3,W,80cf0e3e48ccce54bc702f384179efd4
359-U1466A-13H-4-W,75,75,105.75,105.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,13,H,4,W,6fbc21f96117fca14d606bff06421faa
359-U1466A-13H-5-W,97,97,107.47,107.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,13,H,5,W,0d55b7a85c034f97bdd374e399eb181d
359-U1466A-13H-CC-PAL,0,5,109.65,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,13,H,CC,PAL,39ea8df35cdc37e380a1445900ed91c7
359-U1466A-14H-2-W,12,12,111.62,111.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,14,H,2,W,152738e445c2b23d148c5f1ae568bc46
359-U1466A-14H-3-W,41,41,113.41,113.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,14,H,3,W,fe6ae9d5f301678ff6077a2cfcab79cb
359-U1466A-14H-4-W,83,83,115.33,115.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,14,H,4,W,5ba20ece68cc6d3e9264a805404aabe4
359-U1466A-14H-6-W,87,87,118.37,118.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,14,H,6,W,dfcc5824777faafa1b4d909e382f7e83
359-U1466A-14H-CC-PAL,0,5,119.41,119.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,14,H,CC,PAL,b75fecc4ad63f1b51dbd5ba7f35d6080
359-U1466A-15H-2-W,101,101,122.01,122.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,15,H,2,W,9dab76f5a91056d744fa8a13124b509e
359-U1466A-15H-5-W,10,10,125.6,125.6,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,15,H,5,W,6a9c46f562b5b6a9e12eb36983592da0
