Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Globigerina angulisuturalis,Globigerina bulloides,Globigerina bulloides umbilicata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina sp.,Globigerinatella insueta,Globigerinella calida,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sp.,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hessi,Globorotalia hirsuta,Globorotalia ikbei,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia orientalis,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praeinflata,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia rikuchuensis,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita sp.,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina himiensis,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pseudopachyderma,Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Turborotalita humilis,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
346-U1424A-1H-4-W 42/43-FORAM,0,1,4.92,4.93,,,,P,D,100,,,,,,D,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,1,H,4,W,960cb59012d35d4b8c0e061ba706f1d7
346-U1424A-1H-CC-PAL,0,5,6.75,6.8,,,,P,R,100,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,2 yellowish color specimens,,,,346,U1424,A,1,H,CC,PAL,b09658c36ffc366d33d3906017aba65c
346-U1424A-2H-CC-PAL,0,5,16.4,16.45,,,,G,A,100,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,Radiolaria common,,,,346,U1424,A,2,H,CC,PAL,408885607cfd3a2ef35daa2fd57177a0
346-U1424A-3H-4-W 96/97-FORAM,0,1,21.76,21.77,,,,P,D,100,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,D,,,,,,,,,,,,,,,,,,,"fragmentation, few radiolaria, diatoms",,,,346,U1424,A,3,H,4,W,2d01b431d3a6d1a78cdbf4bae9141055
346-U1424A-3H-CC-PAL,0,4,25.24,25.28,,,,G,A,100,,,,,,D,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,3,H,CC,PAL,3730886f6dd93391afa9ccd1b56fca1c
346-U1424A-4H-2-W 135/136-FORAM,0,1,28.65,28.66,,,,P,D,100,,,,,,D,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,R,A,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,4,H,2,W,1a52486b49eb8128cb4879b15095e487
346-U1424A-4H-2-W 58/59-FORAM,0,1,27.88,27.89,,,,P,D,100,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,"fragmentation, few radiolaria, diatoms",,,,346,U1424,A,4,H,2,W,c20ee2b996e6839ca4f3faf44d0d0c6b
346-U1424A-4H-3-W 12/13-FORAM,0,1,28.92,28.93,,,,M,D,100,,,,,,R,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,R,D,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,4,H,3,W,27be6ed6c83e9b31f9aa9bdc9aceebfb
346-U1424A-4H-5-W 123/124-FORAM,0,1,33.03,33.04,,,,M,D,100,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,D,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,4,H,5,W,065bb5fccc38d97bb07fb317f06321ee
346-U1424A-4H-CC-PAL,0,5,35.43,35.48,,,,G,D,100,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,4,H,CC,PAL,02b7985fef2b7d4dbbc6cc14f42e393a
346-U1424A-5H-4-W 76/77-FORAM,0,1,40.56,40.57,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,5,H,4,W,c2553c1f6830c32c9577968e2a85d098
346-U1424A-5H-CC-PAL,0,5,44.87,44.92,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,5,H,CC,PAL,ae1625a72944cf3089bfea402fbb76ea
346-U1424A-6H-4-W 128/129-FORAM,0,1,50.58,50.59,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,6,H,4,W,d2c401246ba759fc7ad177f90a3d64c1
346-U1424A-6H-CC-PAL,0,5,54.34,54.39,,,,P,R,100,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,6,H,CC,PAL,4177bb38a4b86442d0678a74058d7724
346-U1424A-7H-CC-PAL,0,5,63.97,64.02,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,A,7,H,CC,PAL,32e3c5d639e47437a145e2db97e2061d
