Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1461B-40X-CC-PAL-FORAM-150-2000,0,10,291.86,291.96,p,,75,,,,,"Ostracods present, fish teeth present",,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,A,,,,,,,R,,,F,,,,,,,,P,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,A,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30183511,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30183511,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30183511, ",356,U1461,B,40,X,CC,PAL
356-U1461B-43F-CC-PAL-FORAM-150-2000,0,10,304.82,304.92,p,,75,,,,,Ostracods present. Heavy dolomitization encrustation and fragmentation.,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,A,,,,,,,,,,F,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,R,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30200271,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30200271,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30200271, ",356,U1461,B,43,F,CC,PAL
356-U1461B-47F-CC-PAL-FORAM-150-2000,0,10,323.74,323.84,P,F,59,,,,,Ostracods present. Damage extensive due to dolomitization.,2,,,,,,,P,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,F,R,,,,A,,,,,,P,R,,,A,,,,F,,,,P,F,,R,A,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,,P,,,A,,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,D,,,,,,,R,,,,,,,,,,,,,,,,,,P,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,P,,R,,,P,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30213821,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30213821,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30213821, ",356,U1461,B,47,F,CC,PAL
356-U1461B-51F-CC-PAL-FORAM-150-2000,0,10,342.62,342.72,P,F,65,,,,,Ostracods and pterapods present. High level of encrustation and fragmentation.,1,,,,,,,P,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,D,,,P,,,,,,,P,,,,,,,,,F,,R,P,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,P,,,P,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30214071,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30214071,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30214071, ",356,U1461,B,51,F,CC,PAL
356-U1461B-55F-CC-PAL-FORAM-150-2000,0,10,360.96,361.06,P,R,70,,,,,"Ostracods present, preservation very poor.",10,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,D,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30222341,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30222341,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30222341, ",356,U1461,B,55,F,CC,PAL
356-U1461B-60X-CC-PAL-FORAM-150-2000,0,10,384.8,384.9,M,C,100,,,,,Peloids and bryozoa present,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30226041,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30226041,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30226041, ",356,U1461,B,60,X,CC,PAL
356-U1461B-64X-CC-PAL-FORAM-FORAM 150 2000,0,10,414.99,415.09,P,F,78,,,,,Ostracods present,30,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,D,,,,,F,,,,,,P,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,P,,,P,,P,,,,,,,,,,,,,,,,R,,,P,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30227571,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30227571,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30227571, ",356,U1461,B,64,X,CC,PAL
356-U1461B-69X-CC-PAL-FORAM-FORAM 150 2000,0,10,437.6,437.7,P,F,64,,,,,Ostracods present.,10,,,,,,,,,F,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,D,,,,,F,,,,,,,,,,,,,,F,,,,,P,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30228521,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30228521,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30228521, ",356,U1461,B,69,X,CC,PAL
356-U1461B-73X-CC-PAL-FORAM-150-2000,0,10,461.02,461.12,P,R,60,,,,,"Heavy encrustation, low foraminifer abundance (only count to 50 specimens), high gastropod abundance, ostracods present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,A,,A,,,R,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30233831,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30233831,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30233831, ",356,U1461,B,73,X,CC,PAL
356-U1461B-78X-CC-PAL-FORAM-150-2000,0,10,485.07,485.17,P,,36,,,,,Heavy encrustation,0,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,P,R,,,,F,,,,,,,,,,R,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,A,,,F,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30237011,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30237011,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30237011, ",356,U1461,B,78,X,CC,PAL
