Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1464D-1H-CC-PAL-FORAM-150-2000,0,5,3.5,3.55,,,,,,,,,,C,VG,L [F02],70,1,,,,,"Ostracod, Pteropod, Scaphopod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,P,P,P,P,P,,,,,,,,,P,,,,P,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,356,U1464,D,1,H,CC,PAL,2f4aebc8d8cd292c2f36d1261e79f637
356-U1464D-2H-CC-PAL-FORAM-150-2000,0,5,13.11,13.16,,,,,,,,,,F,P,L [F02],80,1,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,P,P,P,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,P,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,2,H,CC,PAL,ba61d287261f7f65436b1bbae9ea05f0
356-U1464D-3H-CC-PAL-FORAM-150-2000,0,5,22.35,22.4,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,G,L [F02],90,1,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,,,,,,P,,,P,P,P,P,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,P,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,356,U1464,D,3,H,CC,PAL,0641967e6ee790b373de2f1e468ac05b
356-U1464D-4H-CC-PAL-FORAM-150-2000,0,5,32.16,32.21,,,,,,,,,,F,P,M [F02],80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,4,H,CC,PAL,ca84c79264955404ca2d31fe1de39928
356-U1464D-5H-CC-PAL-FORAM-150-2000,0,5,41.8,41.85,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,F,M,M [F02],80,2,,,,,Bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,P,,,,,P,,,P,P,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,P,P,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,5,H,CC,PAL,3ff5cdae9801ac25a2f58dfc41428e89
356-U1464D-6H-CC-PAL-FORAM-150-2000,0,5,51.28,51.33,"T Globigerinoides fistulosus (Gradstein et al., 2012)",T Globigerinoides fistulosus,,1.88,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M,L [F02],90,1,,,,,Bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,P,,,,,,,P,,,P,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1464,D,6,H,CC,PAL,10a434224d9c50acb1ca8c3474b08a92
356-U1464D-7H-CC-PAL-FORAM-150-2000,0,5,60.84,60.89,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,,1.98,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,1.88,2.39,C,M,M [F02],80,2,,,,,"Ostracod, Bryozoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,P,,,,,P,,,P,P,,,P,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,7,H,CC,PAL,9f1ccc49c5667c3b94e35f61f2a1d04a
356-U1464D-8H-CC-PAL-FORAM-150-2000,0,5,70.53,70.58,,,,,,,,,,C,M,M [F02],80,2,,,,,"Ostracod, Bryozoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,P,,,,,P,,,P,P,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,8,H,CC,PAL,8047fe2931d0cd9df5c525e4db31173e
356-U1464D-9H-CC-PAL-FORAM-150-2000,0,5,79.83,79.88,,,Top G. limbata - 2.39 Ma,,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",Top G. limbata - 2.39 Ma,3.16,3.47,C,M,M [F02],80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,P,,P,,,P,,,,,P,,,P,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,9,H,CC,PAL,7f63043de9afa298c424435f0ef8ffcc
356-U1464D-10H-CC-PAL-FORAM-150-2000,0,5,89.35,89.4,,,,,,,,,,C,M,M [F02],80,2,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1464,D,10,H,CC,PAL,6fba195fd04cdf474ceb910a6c1d0f6c
