Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1505C-1H-CC-PAL(15-20)-NANNO,0,5,8.18,8.23,NN21,G,A,,,,F,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,C,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,368,U1505,C,1,H,CC,PAL,b32fc712e97d63571a9422c3041e491c
368-U1505C-2H-CC-PAL(19-24)-NANNO,0,5,17.69,17.74,NN21,G,A,,,,,C,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,368,U1505,C,2,H,CC,PAL,a16ea543f10371bb008e4d3afc8e3e0a
368-U1505C-3H-CC-PAL(17-22)-NANNO,0,5,25.99,26.04,NN20,G,A,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,A,,,,F,,,,,,,,,,,,F,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,3,H,CC,PAL,b4071d516792ac46aa1d26bdc7984d86
368-U1505C-4H-CC-PAL(30-35)-NANNO,0,5,37.12,37.17,NN19,G,A,,,,F,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,C,,,,,,C,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,368,U1505,C,4,H,CC,PAL,5896a479e8eae5ca7a21a4d70b76e5ab
368-U1505C-5H-CC-PAL-NANNO,0,5,46.46,46.51,NN19,G,A,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,C,,,,C,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,368,U1505,C,5,H,CC,PAL,bb7d7575f47e5f93dbd32d902f8d2dd5
368-U1505C-6H-CC-PAL-NANNO,0,5,56.18,56.23,NN19,G,A,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,,C,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,368,U1505,C,6,H,CC,PAL,d5b7a12c7819090303fe49bae30a3cd5
368-U1505C-7H-CC-PAL-NANNO,0,5,65.65,65.7,NN16,G,A,,,,,C,C,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,C,,,,,,,C,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,368,U1505,C,7,H,CC,PAL,832850de06f22f5e8ae699f0b5d48d8b
368-U1505C-8H-CC-PAL-NANNO,0,5,74.9,74.95,NN16,G,A,,,,,F,C,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,C,,,,,,,C,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,368,U1505,C,8,H,CC,PAL,1d3008008926fc25235274664b1d51ea
368-U1505C-9H-CC-PAL-NANNO,0,5,84.13,84.18,NN14,G,A,,,R,,F,F,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,C,,,,,,,C,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,368,U1505,C,9,H,CC,PAL,35bf53e09687586daa15c63f424120e2
368-U1505C-10H-CC-PAL-NANNO,0,5,93.6,93.65,NN13,G,A,F,,,,C,,,,,,,F,,,,,,C,,,R,,,F,,,,F,,,,,,,,,,,,C,,,,,,C,F,,,,C,,,,,,,,,,,F,,,,,,,,,,,,F,,,,R,,,,C,C,A,,F,R,C,,,,,,,,,,,F,,,,,R,,,R,C,,,,,,,368,U1505,C,10,H,CC,PAL,cb7a1c18cc10ffa19da4180d03433326
368-U1505C-11H-CC-PAL-NANNO,0,5,102.73,102.78,NN12,G,A,F,,F,,C,R,,,,,F,F,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,C,C,,,,C,,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,C,A,A,,F,F,A,,,,,,,,,,,F,,,,C,,,,,C,,,,,,,368,U1505,C,11,H,CC,PAL,756d6c2a436f15def1a40746bf4cf032
368-U1505C-12H-CC-PAL-NANNO,0,5,111.68,111.73,NN12,G,A,,,,,C,R,,F,,,F,,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,C,F,,,,C,,,,,,,,,,,C,,F,,,,,,,,,,F,,,,,,,,R,A,A,,F,R,A,,,,,,,,,,,C,,,,A,,,,,C,,,,,,,368,U1505,C,12,H,CC,PAL,06ee7f94ebcfed83b1a421ac969b95e9
368-U1505C-13H-CC-PAL-NANNO,0,5,122.66,122.71,NN11,G,A,F,,,,F,R,,F,,,,,,,,,,C,,,R,,,F,,C,,F,,,,,,,,,,,,C,,,C,,,C,F,,,,C,,,,,,,,,,,F,,R,,,,F,F,,,,,R,,,,,,,,C,A,A,,,,A,,,,,,,,,,,F,,,,C,,,,,C,,,,,,,368,U1505,C,13,H,CC,PAL,a1e493e5f7c86d74ca4bb639be9a6270
368-U1505C-14H-CC-PAL-NANNO,0,5,132.18,132.23,NN11,G,A,F,,,,C,R,,F,,,,,,,,,,C,,,,,,,,C,,F,,,,,,,,,,,,C,,,C,,,C,F,,,,C,,,,,,,,,,,F,,R,,,,R,,,,R,,F,,,,,,,,F,A,A,,,,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,14,H,CC,PAL,610528c3aa3ebaab542d769b1b32e24c
