Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Sample preparation comment,General comment,Group Abundance,Preservation,Abas wittii,Actinocyclus barronii,Actinocyclus ellipticus f. lanceolata,Actinocyclus ellipticus var. javanica,Actinocyclus ellipticus var. spiralis,Actinocyclus hajosiae,Actinocyclus ingens,Actinocyclus jouseae,Actinocyclus moronensis,Actinocyclus mutabilis,Actinocyclus nigriniae,Actinocyclus praellipticus,Actinocyclus radionovae,Actinoptychus splendens,Alveus marina,Annellus californicus,Araniscus lewisianus,Asterolampra acutiloba,Asterolampra affinis,Asterolampra grevillei,Asterolampra insignis,Asterolampra marylandica,Asteromphalus elegans,Azpeitia bukryi,Azpeitia crenuloides,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia nodulifera var. cyclopus,Azpeitia oligocenica,Azpeitia oligocenica var. nodosa,Azpeitia praenodulifera,Azpeitia salisburyana,Azpeitia tuberculata,Azpeitia vetustissimus var. javanica,Baxteriopsis brunii,Bogorovia barronii,Bogorovia gombosii,Bogorovia puncticulata,Bogorovia veniamini,Brightwellia hyperborea,Brightwellia imperfecta,Cavitatus jouseanus,Cavitatus rectus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus demergitus,Cestodiscus fennerae,Cestodiscus kugleri,Cestodiscus ovalis,Cestodiscus peplum,Cestodiscus pulchellus,Cestodiscus pulchellus var. maculatus,Cestodiscus pulchellus var. novazealandica,Cestodiscus quadratus,Cestodiscus reticulatus,Cestodiscus robustus,Cestodiscus sp. 2,Cestodiscus spinifer,Cestodiscus stokesianus,Cestodiscus trochus,Cestodiscus umbonatus,Chaetoceros asymmetricus,Coscinodiscus blysmos,Coscinodiscus bulliens,Coscinodiscus cruxii,Coscinodiscus descrescens,Coscinodiscus eomonoculus,Coscinodiscus excavatus,Coscinodiscus excavatus var. semilunis,Coscinodiscus gigas var. diorama,Coscinodiscus hajosiae,Coscinodiscus lewisianus var. levis,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus var. robustus,Coscinodiscus rhombicus,Coscinodiscus temperei var. delicata,Coscinodiscus tuberculatus,Craspedodiscus coscinodiscus,Craspedodiscus elegans,Craspedodiscus oblongus,Craspedodiscus umbonatus,Craspedodiscus undulatus,Crucidenticula ikibei,Crucidenticula kanaye,Crucidenticula nicobarica,Crucidenticula punctata,Crucidenticula sawamurae,Diestephanisira architecturalis,Ethmodiscus rex,Fragilariopsis cylindrica,Fragilariopsis fossilis,Fragilariopsis miocenica,Fragilariopsis reinholdii,Hemiaulus alatus,Hemiaulus altar,Hemiaulus barbadensis,Hemiaulus dubius,Hemiaulus exiguus,Hemiaulus gondolaformis,Hemiaulus gracilis,Hemiaulus grassus,Hemiaulus inaequilaterus,Hemiaulus incurvus,Hemiaulus kristoffersenii,Hemiaulus lyriformis,Hemiaulus nocchiae,Hemiaulus peripterus var. longispinus,Hemiaulus peripterus var. peripterus,Hemiaulus polycistinorum var. mesolepta,Hemiaulus subactus,Hemidiscus cuneiformis,Hyalodiscus ambiguus,Kozloviella minor,Kozloviella subrotunda,Melosira architecturalis,Mesocena elliptica,Mesocena quadrangula,Nitzschia jouseae,Nitzschia maleinterpretaria,Nitzschia porteri,Fragilariopsis doliolus,Pterotheca clavata,Pyxilla caputavis,Pyxilla gracilis,Pyxilla reticulata,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia sp.,Riedelia claviger,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella princeps,Rocella vigilans,Rossiella fennerae,Rossiella fourtanierae,Rossiella paleacea,Rossiella paleacea var. elongata,Rossiella praepaleacea,Rossiella symmetrica,Shionodiscus oestrupii,Skeletonemopsis barbadense,Thalassionema cf. nitzschiodes,Thalassionema robusta,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira convexa var. convexa,Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira leptopus,Thalassiosira miocenica,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira primalabiata,Thalassiosira spinosa,Thalassiosira spumellaroides,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira yabei var. elliptica,Thalassiothrix cf. primitiva,Triceratium barbadense,Triceratium cinnamoneum,Triceratium gombosii,Triceratium gombosii var. A,Triceratium heibergii,Triceratium inconspicuum,Triceratium kanayae,Triceratium mirabile,Triceratium pileus,Triceratium polycystinorum,Trinacria aries,Trinacria conifera,Trinacria deciusi,Trinacria exsculpta,Trinacria regina,Trinacria simulacroides,Trinacria simulacrum,Trinacria subcapitata,Trochosira gracillima,Trochosira marginata,Trochosira radiata,Trochosira trochlea,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
362-U1481A-2R-1-W 116/116-DIAT,0,0,1150.86,1150.86,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,1,W,0278dee4e2158e09931eb5d43f801867
362-U1481A-2R-2-W 73/73-DIAT,0,0,1151.92,1151.92,,,,fragments of pyrite (possibly radiolarians),B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,2,W,4f4ecb07869c8f788bcbc7bfcdba2443
362-U1481A-2R-2-W 88/88-DIAT,0,0,1152.07,1152.07,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,2,W,fca5e24f8926893bbd4221c37a19900a
362-U1481A-2R-CC-PAL-DIAT,0,0,1154.34,1154.34,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,CC,PAL,067b25baa4240b1d62b728da072a9cd6
362-U1481A-3R-1-W 111/111-DIAT,0,0,1160.51,1160.51,,,,very red. pyritized rads?,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,1,W,8ac375500f89aa8c69c1abbdcb56ee70
362-U1481A-3R-5-W 49/49-DIAT35,0,0,1164.9,1164.9,,,,well-preserved Si specimen of A. marina- may be contamination?,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,5,W,33a25bba30e8fcd3a3d8d9870988dca4
362-U1481A-3R-CC-PAL-DIAT,0,0,1168.44,1168.44,,,,pyrite fragments- a few could possibly have been diatoms,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,3,R,CC,PAL,29b027069d0b89df377fb9eba007f4f7
362-U1481A-4R-3-W 15/15-DIAT,0,0,1171.62,1171.62,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,3,W,8b0f61ab6e7be8c01ad94ba46b11bec7
362-U1481A-4R-3-W 49/49-DIAT,0,0,1171.96,1171.96,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,3,W,2ad91b5e6e0e9220c8fda3684e628d94
362-U1481A-4R-CC-PAL-DIAT,0,0,1174.38,1174.38,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1481,A,4,R,CC,PAL,93a7ece9e4b9c8bd4b52a22cddad895b
