Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1462C-2R-CC-PAL-NANNO,0,5,33.0,33.05,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,2,R,CC,PAL,cae7740cc5802e68a8324a0d02e20c81
356-U1462C-4R-CC-PAL-NANNO,0,7,42.6,42.67,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,4,R,CC,PAL,562555c2c932ca0091d08ef4353c9d30
356-U1462C-5R-CC-PAL-NANNO,0,5,47.4,47.45,,,M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,R,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,5,R,CC,PAL,368534c9de684d8f438e403ea977a0b9
356-U1462C-6R-CC-PAL-NANNO,0,5,52.2,52.25,,,M [P33],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,F,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,lots of aragonite needles,,,,356,U1462,C,6,R,CC,PAL,46ae644f81b93b5a79d72619b2fbf8b8
356-U1462C-7R-CC-PAL-NANNO,0,6,59.18,59.24,,,M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,7,R,CC,PAL,9bb2646bb50cdef17f1f57547870d209
356-U1462C-8R-CC-PAL-NANNO,0,7,62.4,62.47,,,M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,8,R,CC,PAL,3342a0dcad14558818fa270c2ce4a954
356-U1462C-9R-CC-PAL-NANNO,0,2,66.6,66.62,,,M [P33],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1462,C,9,R,CC,PAL,96d0bd5a992d05dc399238360efa1993
356-U1462C-10R-CC-PAL-NANNO,0,5,71.98,72.03,,,M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,10,R,CC,PAL,05792fc65a36c7bbbad16c49b387fa6b
356-U1462C-12R-CC-PAL-NANNO,0,6,81.09,81.15,,,M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,very rare in matrix,,,,356,U1462,C,12,R,CC,PAL,72d12880c83f8ac0a739e2030d4688ae
356-U1462C-14R-CC-PAL-NANNO_dense,0,6,90.8,90.86,,,M [P33],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,,F,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,,356,U1462,C,14,R,CC,PAL,8663717d154b237fbf9cf55fd962c4e8
