Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Agglutinated spp. (indeterminate),Amphicoryna scalaris,Anomalinoides globulosus,Bolivina pusilla,Bolivina robusta,Bolivinita quadrilatera,Bulimina aculeata,Bulimina barbata,Bulimina sp.,Bulimina striata gr.,Cassidulina carinata,Cassidulina sp.,Chrysalogonium tenuicostatum,Chilostomella oolina,Cibicides bradyi,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundulus,Cibicidoides renzi,Cibicidoides sp.,Cyclammina trullissata,Dentalina communis,Eggerella bradyi,Ehrenbergina pacifica,Epistominella exigua,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Gavelinopsis lobatulus,Globobulimina affinis,Globocassidulina subglobosa,Globogyroidina boninensis,Gyroidinoides neosoldanii,Hoeglundina elegans,Karreriella bradyi,Laticarinina pauperata,Lagena sp.,Lenticulina rotulata,Lenticulina sp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Nonionella sp.,Nodosaria longiscata,Nuttallides umbonifera,Oridorsalis umbonatus,Oolina globosa,Parafissurina sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella sp. A,Pseudonodosaria sp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyrgo lucernula,Pyrgo murrhina,Pyrgo sp.,Quinqueloculina lamarckiana,Quinqueloculina sp.,Recurvoides sp.,Rhabdammina? sp.,"Rhizammina sp. (Kaiho, 1992)",Rhizammina sp.,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Tosaia hanzawai,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispida,Uvigerina hispidocostata,Uvigerina senticosa,Uvigerina sp.,File Data,Shore File Links,eodp_id
350-U1437B-1H-CC-PAL-FORAM,350,U1437,B,1,1-CC,H,CC,PAL,FORAM,0,5,5.23,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,52 specimens on 1/8 split,,,,,,,D,,,,A,,,,,,R,,,,,,,R,,,,,,,,,,,R,,,,,,,,,F,,,,,A,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,R,,,A,,,,,f207c0b3e76378f35b75ad68f77568db
350-U1437B-2H-CC-PAL-FORAM,350,U1437,B,2,2-CC,H,CC,PAL,FORAM,0,5,14.53,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,on 1/8 split,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,R,,,,,,,,F,,,,,,,,F,R,,,,R,,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,R,,,A,,,,,6ca208f34c2da2db8bc67b5a8fdbe8e0
350-U1437B-3H-CC-PAL-FORAM,350,U1437,B,3,3-CC,H,CC,PAL,FORAM,0,5,24.39,24.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,1/8 76 specimens,,,,,,,D,,,,R,,,,R,R,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,F,R,,,,R,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,R,R,,A,,,,,b1f96ba429d2064bd56eec10b5195542
350-U1437B-4H-CC-PAL-FORAM48,350,U1437,B,4,4-CC,H,CC,PAL,FORAM48,0,5,32.99,33.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,1/8 37 specimens,,,,,,,,F,,R,R,,,,,R,R,,,,,,,F,,,,,,,,F,R,,,R,,,R,,,,,,F,,,,F,,,,,,,,,R,,,,A,,,,,,,,,R,,,,,,,,,,F,,,,4a7cddd847b9c98511da307c019309ad
350-U1437B-5H-CC-PAL-FORAM,350,U1437,B,5,5-CC,H,CC,PAL,FORAM,0,5,42.4,42.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no benthic in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0021b3b33069ffc6cd91d14fe4b1ae1
350-U1437B-6H-CC-PAL-FORAM,350,U1437,B,6,6-CC,H,CC,PAL,FORAM,0,5,52.96,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,24 specimen in 1/8,,,,,,,,F,,R,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,F,,,,,,,,,F,,,,R,,,,,,,,R,R,,,,,,,,,,,,,,9aa5756732a8fe94081d77fd7c832d44
350-U1437B-7H-CC-PAL-FORAM,350,U1437,B,7,7-CC,H,CC,PAL,FORAM,0,5,62.36,62.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,47 specimens,,,,,,,R,,,R,R,,,,,R,,,,,,,,R,R,,,R,,,,,R,,,A,,,,,,,,A,,,,,A,R,R,,,,,,A,,,,,F,,,,,,,,,,,,,,,R,R,,R,,,,,a4509918eff7429e95e525239fca892c
350-U1437B-8H-CC-PAL-FORAM,350,U1437,B,8,8-CC,H,CC,PAL,FORAM,0,5,71.7,71.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,42 specimens in 1/2 split.,A,,,,,,R,R,R,,,,,,R,F,,,,,,,,,,,,,R,,,,,,,A,,,,,,,,,R,,,,A,R,R,,,,,,R,R,R,R,,,,,,,,,,,R,,,,,,,,,R,R,,,,ca2951ea5f5b2b54b66cc434fde97980
350-U1437B-9H-CC-PAL-FORAM,350,U1437,B,9,9-CC,H,CC,PAL,FORAM,0,5,79.62,79.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero specimens in whole sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4fc556269376ac9f0bac899183af3803
350-U1437B-10H-CC-PAL-FORAM,350,U1437,B,10,10-CC,H,CC,PAL,FORAM,0,5,89.58,89.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 specimens in 1/2 split.,,,,,,,,,,R,,F,,,,R,,,,,,,,F,,,,,,F,,,A,,R,F,,,,,,,,A,F,,,,R,F,,,,,,,F,,A,,,,,,,,,,,,R,,,,,,,R,,A,R,,,,9aea32bb963471258a9a93624030ea33
