Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1422D-1H-1-W 115/116-NANNO,0,1,1.15,1.16,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,1,H,1,W
346-U1422D-1H-4-W 61/62-NANNO,0,1,5.11,5.12,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,1,H,4,W
346-U1422D-1H-4-W 89/90-NANNO,0,1,5.39,5.4,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,1,H,4,W
346-U1422D-2H-2-W 59/60-NANNO,0,1,10.19,10.2,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,2,H,2,W
346-U1422D-2H-3-W 129/130-NANNO,0,1,12.39,12.4,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,2,H,3,W
346-U1422D-3H-6-A 115/116-NANNO,0,1,20.75,20.76,M,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,3,H,6,A
346-U1422D-3H-7-W 26/27-NANNO,0,1,21.36,21.37,G,A,,,,,,,,,R,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The presence of E. huxleyi is not clear in this sample,,,,346,U1422,D,3,H,7,W
346-U1422D-4H-1-W 98/99-NANNO,0,1,22.58,22.59,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photo showing the poor preservation,,,,346,U1422,D,4,H,1,W
346-U1422D-4H-5-W 4/5-NANNO,0,1,27.64,27.65,G,R,,,,,,,,,Freq,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,4,H,5,W
346-U1422D-4H-5-W 89/90-NANNO,0,1,28.49,28.5,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,D,4,H,5,W
