Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Percentage of planktic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina bullbrooki,Acarinina cuneicamerata,Acarinina praetopilensis,Acarinina punctocarinata,Acarinina sibaiyaensis,Acarinina soldadoensis,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Chiloguembelina cubensis,Chiloguembelina sp.,Clavatorella bermudezi,Clavatorella nicobarensis,Clavigerinella sp.,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Fohsella birnageae,Fohsella fohsi,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globanomalina compressa,Globanomalina pseudomenardii,Globigeriantella insueta,Globigerina aequilateralis,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina conglomerata,Globigerina cryptomphala,Globigerina euapertura,Globigerina falconensis,Globigerina linaperta,Globigerina praebulloides,Globigerina pseudodruryi,Globigerina senni,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinatheka sp.,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides altiapertura,Globigerinoides bisphericus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconusa daubjergensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina tripartita,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia bermudezi,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miocenica,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita brazieri,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina sp.,Morozovella angulata,Morozovella aragonensis,Morozovella formosa,Morozovella sp.,Morozovella spinulosa,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides bandyi,Morozovelloides crassatus,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Orbulina bilobata,Orbulina suturalis,Orbulina universa,Orbulinoides beckmanni,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudokugleri,Paragloborotalia siakensis,Parasubbotina pseudobulloides,Parasubbotina sp.,Parvularugoglobigerina eugubina,Planorotalites compressa,Praemurica inconstans,Praemurica uncinata,Praeorbulina glomerosa,Praeorbulina sicana,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Pulleniatina (D),Pulleniatina (S),Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Streptochilus sp.,Subbotina sp.,Subbotina triloculinoides,Tenuitella gemma,Truncorotaloides rohri,Truncorotaloides spp.,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia frontosa,Turborotalita humilis,Benthic Foraminifera group,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
355-U1457A-1H-CC-PAL-FORAM,0,5,8.69,8.74,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,A,P,A,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,P,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,1,H,CC,PAL,66876f2fe2e2c2596d5681d7afdd31c5
355-U1457A-2H-CC-PAL-FORAM,0,5,14.02,14.07,,,,,,,,,A,G,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,P,,,,,,,,,P,,,P,,,,,P,,,,,,,,A,R,A,F,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,2,H,CC,PAL,8b4ddc0540415037de45c9c8d9709cce
355-U1457A-3H-CC-PAL-FORAM,0,5,27.07,27.12,,,,,,,,,A,G,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,P,,,,,,,,,,,,R,,,R,,,,,P,,,,,,,,A,,A,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,3,H,CC,PAL,bf1f40177c49b9d3e12414c2eaee2293
355-U1457A-4H-CC-PAL-FORAM,0,5,36.59,36.64,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,P,,,,,,,,,,,,P,,,F,,,,,P,,,,,,,,A,,A,F,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,P,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,4,H,CC,PAL,5d54323bcdb2283eabc87f5cdd60bcc3
355-U1457A-5H-CC-PAL-FORAM,0,5,45.56,45.61,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,A,P,A,F,,,,P,R,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,P,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,5,H,CC,PAL,a062a5745cd026e5ec092dab34f1eadc
355-U1457A-6H-CC-PAL-FORAM,0,5,55.74,55.79,,,,,,,,,F,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,A,,F,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,6,H,CC,PAL,542e04b344a20bd2c76be217ca61ffa9
355-U1457A-7H-CC-PAL-FORAM,0,5,65.85,65.9,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,P,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,A,,A,F,,,,,F,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,7,H,CC,PAL,b2a4f6b90117cbdca019d4c23b7e4d98
355-U1457A-8H-CC-PAL-FORAM,0,5,75.24,75.29,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,P,,,,,,,,,,,,R,,,,,P,,,,,,,,A,,A,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,8,H,CC,PAL,a9c15f133625c41ec88a0c4109fcdb63
355-U1457A-9H-CC-PAL-FORAM,0,5,83.78,83.83,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,A,,A,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,9,H,CC,PAL,e1f714ff1ed55085e9848a23cd7c5f02
355-U1457A-10H-CC-PAL-FORAM,0,5,94.36,94.41,,,,,,,,,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,P,,,,,,,,,,,,R,,,,,P,,,,,P,,,F,,A,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,R,R,,P,,,,,,,,,P,,,,,,,,,,,,,,,,F,,P,,,F,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1457,A,10,H,CC,PAL,336504c5a34660c0a953c631ac1c3868
