Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group Abundance,Anthocyrtidum ophirense,Anthocyrtidium sp.,Anthocyrtidium zanguebaricum,Acrobotrys tritubus,Acrosphaera collina,Acrosphaera spinosa (=Collosphaera spinosa),Actinomma arcadophorum,Actinomma medianum,Amphirhopalum ypsilon,Anomalacantha dentata,Anthocyrtidium angulare,Anthocyrtidium ehrenbergi,Anthocyrtidium jenghisi,Anthocyrtidium pliocenica,Astrophacus sp.,Axoprunum stauraxonium,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestensis,Buccinosphaera invaginata,Calocyccletta costata,Calocycletta caepa,Calocycletta dadara,Calocycletta virginis,Carpocanistrum sp.,Carpocanopsis bramlettei,Carpocanopsis cristata,Cenosphaera sp.,Collosphaera huxleyi,Collosphaera macropora,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocorine truncatum,Dictyocoryne profunda,Dicymocyrti laticonus,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis sp.,Didymocyrtis tetrathalamus tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris forcipata,Eucecryphalus sp.,Euchitonia elegans/furcata group,Eucyrtidium acuminatum,Eucyrtidium diaphanes,Eucyrtidium hexagonatum,Gyraffospyris angulata,Heliodiscus asteriscus,Hexacontium laevigatum,Hymeniastrum euclidis,Lamprocyclas marytalis,Lamprocyrtis neoheteroporus,Larcospira minor,Larcopyle quadrangula,Liriospyris reticulata,Liriospyris parkerae,Liriospyris stauropora,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera Thomburgi,Lophospyris pentagona hyperborea,Lophospyris pentagona pentagona,Lychnodictyum audax,Ommatartus tetrathalamus,Otosphaera auriculata,Phormospyris stabilis,Phormospyris stabilis stabilis,Phormostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Phorticium pylonium,Pterocanium praetextum,Pterocanium prismatium,Pterocanium trilobum,Pterocorys campanula,Pterocorys zancleus,Siphocampe corbula (=Lithocampe corbula),Siphonosphaera martensi,Siphonosphaera polysiphonia,Siphostichartus corona,Solenosphaera omnitobus omnitobus,Solenosphaera omnitobus procera,Solenosphaera quadrata,Spongaster berminghami,Spongaster klingi,Spongaster pentas,Spongaster tetras tetras,Spongocore puella,Spongopyle osculosa,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wolffii,Stylodictya arachnia,Stylatractus universus,Stylodictya sp.,Stylodictya validispina,Stylochlamidium  venustum,Tetrapyle octacantha,Theocorythium trachelium trachelium,Theocorythium vetulum,Zygocircus sp.,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1435A-2R-CC-PAL-RADS,0,1,9.7,9.71,,,,,,,,,,G [P34],A,R,,R,,R,R,R,,R,,,,,,,R,F,,,R,,,,,R,,,R,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,R,R,R,F,R,R,,R,R,R,,,R,,,,,R,,F,,,R,,,,R,R,,R,,,R,,R,,,,R,,,,R,R,,,,,,R,,,R,R,C,R,,R,,,,349,U1435,A,2,R,CC,PAL,00a5007b3daa72b344878e93feca3b0a
349-U1435A-3R-CC-PAL-RADS,0,1,19.43,19.44,,,,,,,,,,M [P34],R,,,,,,,,,,,,,,,,R,R,,,,,,,,R,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,R,R,,,,,,R,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,F,R,F,,,R,,,,349,U1435,A,3,R,CC,PAL,63559f6be9e32af0ffec622f21d75060
349-U1435A-4R-CC-PAL-RADS,0,6,26.65,26.71,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spong spicules,,,349,U1435,A,4,R,CC,PAL,91f1cbfffcf80322084c6bdeb05d3901
349-U1435A-5R-CC-PAL-RADS,0,6,39.62,39.68,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,CC,PAL,f68f4827c5d32ee3fa7ed76b338db519
349-U1435A-6R-CC-PAL-RADS,0,5,49.25,49.3,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spong spicules,,,349,U1435,A,6,R,CC,PAL,573f7e1370d9349d61f9babb6463151e
349-U1435A-7R-CC-PAL-RADS,0,6,59.54,59.6,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spong spicules,,,349,U1435,A,7,R,CC,PAL,621afe407f9134f56b5511d0c266e0f9
349-U1435A-8R-CC-PAL-RADS,0,6,71.55,71.61,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,8,R,CC,PAL,bef1aafc1b9ff07f93bed4784997ce10
349-U1435A-9R-CC-PAL-RADS,0,6,79.78,79.84,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,9,R,CC,PAL,9ca59e5eb296a8f11085db6fcd7df8ca
349-U1435A-10R-CC-PAL-RADS,0,6,87.69,87.75,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,10,R,CC,PAL,77d327f7167e190809c20aae46dedcf7
349-U1435A-11R-CC-PAL-RADS,0,6,94.99,95.05,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,11,R,CC,PAL,4cd54554144667d4ecbef23d2ae9eecf
