Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus (?) venustum,Spongotrochus glacialis,Lamprocyrtis heteroporos,Cycladophora davisiana davisiana,Stylatractus universus,Siphocampe arachnea,Lamprocyrtis neoheteroporos,Lamprocyclas hannai,Haliommetta miocenica,Botryostrobus sp. aff. B. aquilonaris,Phormostichoartus crustula,Cycladophora bicornis amphora,Stylacontarium acquilonium,Phormostichoartus pitomorphus,Eucyrtidium calvertense,Botryostrobus bramlettei seriatus,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Pterocanium auritum,Botryostrobus bramlettei tumidulus,Stichocorys peregrina,Spongodiscus osculosus,Eucyrtidium teuscheri teuscheri,Ceratospyris borealis,Dictyophimus hirundo,Sphaeropyle langii,Pterocanium grandiporus,Pseudodictyophimus gracilipes,Botryostrobus bramlettei pretumidulus,Sphaeropyle robusta,Botryostrobus bramlettei bramlettei,Phormostichoartus schneideri,Pterocanium trilobum,Pterocorys clausus,Tricolocapsa papillosa,Gondwanaria dogieli,Cycladophora bicincta group,Amphimelissa setosa,Rhizosphaera antarctica,Actinomma popofskii,Ceratocyrtis histricosa group,Actinomma leptodermum,Lamprocyrtis nigriniae,Botryostrobus aquilonaris,Pterocanium korotnevi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  1,H, 1,  26.00,     20.2600,Caulet   ,Radiolarians                                 ,VR             ,G                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,T                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,T                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  1,H, 2, 113.00,     22.6500,Caulet   ,Radiolarians                                 ,VR             ,G                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,T                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  1,H, 4,  22.00,     24.7400,Caulet   ,Radiolarians                                 ,R              ,G                 ,C                         ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,C                                 ,                     ,                      ,                               ,C                    ,                    ,                  ,T                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,T                          ,                   ,                       ,                   ,                             ,                     ,                      ,R                        ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  1,H,CC,  46.00,     30.1600,Caulet   ,Radiolarians                                 ,VR             ,G                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,T                            ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
