Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ichthyolith cf. Triangle pointed margin ends,Ichthyolith Triangle short wing ,Ichthyolith Triangle pointed margin ends ,Ichthyolith Triangle medium wing ,Ichthyolith Triangle inward angle ,Ichthyolith Rectangular triangular toothed ,Ichthyolith Plain and lined lanceolate ,Ichthyolith Kite shaped longitudinal line ,Ichthyolith Form E ,Ichthyolith Flexed narrow triangle 120-128 ,Ichthyolith Triangle with canals ,Ichthyolith Triangle transverse line across ,Ichthyolith Triangle concave base ,Ichthyolith Skewed 4 or 5 peaks ,Ichthyolith Rectangular sawtoothed ,Ichthyolith Polygonal cavity long rays ,Ichthyolith Polygonal cavity ,Ichthyolith Flexed triangle shallow inbase ,Ichthyolith Curved triangle pointed inline ,Ichthyolith Wide triangle straight inbase ,Ichthyolith Triangle with triangular projection ,Ichthyolith Triangle with high inline apex ,Ichthyolith Seven peaks ,Ichthyolith Ogee lanceolate ,Ichthyolith Narrow triangle cross-hatchured ,Ichthyolith Form A ,Ichthyolith cf. Five peaks flared base ,Ichthyolith Triangle double wing ,Ichthyolith Form B ,Ichthyolith Flexed triangle shallow inbase >=120 ,Ichthyolith Tanged triangle ,Ichthyolith Short kite shaped ,Ichthyolith Narrow triangle straight inbase ,Ichthyolith Many peaks transverse lines ,Ichthyolith Kite shaped irregular network ,Ichthyolith Five peaks flared base ,Ichthyolith Asymmetrical peak wide depression ,Ichthyolith cf. Pointed triangle short inline ,Ichthyolith Triangle broad wing ,Ichthyolith Two triangles ,Ichthyolith Triangle with base angle ,Ichthyolith Triangle curved base ,Ichthyolith Long triangle thin wall ,Ichthyolith Kite shaped elongate prominence ,Ichthyolith Rectangular irregularly sawtoothed ,Ichthyolith Large fibrous triangle ,Ichthyolith Three equal peaks flared base ,Ichthyolith Narrow triangle unequal margins ,Ichthyolith Elliptical with line across ,Ichthyolith Small triangle crenate margin ,Ichthyolith Pointed triangle long margins ,Ichthyolith Small dendritic many radiating lines ,Ichthyolith Triangle crenulate ,Ichthyolith Stippled triangle ,Ichthyolith Flexed triangle 102-112 ,Ichthyolith Curved triangle pointed margin ,Ichthyolith Asymmetrical peaks narrow depression ,Ichthyolith cf. Triangle inline halfway ,Ichthyolith Triangle sigmoid ,Ichthyolith Triangle long inline ,Ichthyolith Triangle bowed inline ,Ichthyolith Skewed with transverse lines ,Ichthyolith Triangle hooked margin ,Ichthyolith Small triangle long striations ,Ichthyolith Narrow triangle ragged base ,Ichthyolith Short triangle stepped margin ,Ichthyolith Form D ,Ichthyolith Form C ,Ichthyolith Triangle sinuous inline ,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 4, 122.00,     21.5200,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,                                         ,                                 ,                                  ,                                           ,                                       ,                                          ,                   ,+                                          ,                                 ,                                            ,cf                                ,+                               ,+                                  ,cf                                     ,+                            ,+                                          ,                                           ,                                          ,+                                               ,+                                          ,                        ,                            ,+                                           ,                   ,                                       ,                                 ,                   ,                                                 ,                            ,                              ,+                                           ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,                                               ,                                   ,                                          ,                                            ,                                        ,                                          ,+                                         ,+                                                ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,+                  ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 5,  27.00,     22.0700,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,                                ,                                         ,                                 ,                                  ,                                           ,                                       ,+                                         ,                   ,+                                          ,+                                ,+                                           ,                                  ,+                               ,                                   ,                                       ,                             ,+                                          ,                                           ,                                          ,+                                               ,+                                          ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,                                                 ,                            ,                              ,+                                           ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,                                               ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,+                                 ,                                         ,+                                  ,                                           ,                                        ,+                                         ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 5, 122.00,     23.0200,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,+                               ,                                         ,cf                               ,                                  ,                                           ,+                                      ,                                          ,                   ,+                                          ,                                 ,                                            ,                                  ,+                               ,                                   ,                                       ,                             ,                                           ,                                           ,                                          ,+                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,                                                 ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,+                                   ,                                            ,                                               ,                                   ,                                          ,                                            ,                                        ,                                          ,+                                         ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,+                                       ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 6,  27.00,     23.5700,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,                                         ,+                                ,                                  ,+                                          ,                                       ,                                          ,                   ,                                           ,                                 ,                                            ,                                  ,+                               ,                                   ,+                                      ,+                            ,                                           ,                                           ,                                          ,+                                               ,+                                          ,+                       ,                            ,                                            ,                   ,                                       ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,+                                  ,                                              ,                                              ,+                               ,                          ,                                     ,                                 ,+                                   ,                                            ,+                                              ,                                   ,                                          ,                                            ,                                        ,                                          ,+                                         ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,+                            ,                                 ,                                  ,                                         ,+                                  ,+                                          ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 6, 124.00,     24.5400,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,                                ,                                         ,                                 ,                                  ,+                                          ,                                       ,                                          ,                   ,                                           ,+                                ,+                                           ,                                  ,                                ,                                   ,+                                      ,                             ,                                           ,                                           ,+                                         ,+                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,                                                 ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,+                                              ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,+                                        ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 7,   4.00,     24.8400,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,                                         ,                                 ,+                                 ,                                           ,+                                      ,+                                         ,                   ,                                           ,                                 ,+                                           ,                                  ,                                ,                                   ,+                                      ,+                            ,                                           ,                                           ,                                          ,F                                               ,+                                          ,+                       ,                            ,+                                           ,                   ,                                       ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,+                                             ,                                              ,                                ,                          ,+                                    ,                                 ,                                    ,                                            ,+                                              ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,+                                ,cf                                ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  3,H, 7,  64.00,     25.4400,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,+                               ,                                         ,+                                ,+                                 ,                                           ,                                       ,                                          ,                   ,                                           ,                                 ,                                            ,                                  ,+                               ,                                   ,                                       ,                             ,+                                          ,                                           ,+                                         ,F                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,                                               ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,cf                                  ,+                                          ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 1,  19.00,     25.4900,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,                                ,+                                        ,                                 ,                                  ,                                           ,                                       ,                                          ,                   ,                                           ,                                 ,+                                           ,+                                 ,+                               ,                                   ,                                       ,                             ,                                           ,                                           ,+                                         ,+                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,cf                        ,                                     ,                                 ,+                                   ,                                            ,                                               ,                                   ,+                                         ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,+                                          ,                                                 ,+                                       ,+                            ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 1, 130.00,     26.6000,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,                                         ,cf                               ,                                  ,+                                          ,                                       ,                                          ,                   ,                                           ,+                                ,+                                           ,                                  ,                                ,                                   ,+                                      ,                             ,                                           ,                                           ,+                                         ,F                                               ,                                           ,                        ,                            ,+                                           ,                   ,                                       ,                                 ,                   ,                                                 ,+                           ,                              ,                                            ,                                        ,                                          ,                                   ,+                                             ,                                              ,+                               ,                          ,                                     ,                                 ,+                                   ,                                            ,+                                              ,+                                  ,                                          ,                                            ,                                        ,+                                         ,                                          ,                                                 ,+                              ,+                             ,cf                                  ,+                                          ,+                                                ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 2,  19.00,     26.9900,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,+                                        ,cf                               ,                                  ,                                           ,                                       ,                                          ,                   ,+                                          ,                                 ,+                                           ,                                  ,+                               ,                                   ,+                                      ,                             ,+                                          ,                                           ,                                          ,F                                               ,                                           ,+                       ,                            ,                                            ,                   ,                                       ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,+                                              ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,+                                                ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 2, 131.00,     28.1100,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,                                ,+                                        ,+                                ,                                  ,                                           ,                                       ,+                                         ,                   ,                                           ,+                                ,+                                           ,                                  ,+                               ,                                   ,+                                      ,+                            ,                                           ,                                           ,                                          ,F                                               ,cf                                         ,+                       ,                            ,                                            ,                   ,                                       ,                                 ,                   ,                                                 ,                            ,                              ,                                            ,                                        ,                                          ,+                                  ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,+                                              ,                                   ,                                          ,                                            ,                                        ,+                                         ,+                                         ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 3,  19.00,     28.4900,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,                                ,                                         ,+                                ,                                  ,+                                          ,cf                                     ,+                                         ,+                  ,                                           ,+                                ,+                                           ,                                  ,                                ,                                   ,                                       ,                             ,                                           ,                                           ,+                                         ,+                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,+                                ,                   ,                                                 ,+                           ,                              ,                                            ,+                                       ,                                          ,+                                  ,+                                             ,                                              ,+                               ,                          ,                                     ,+                                ,                                    ,                                            ,+                                              ,                                   ,                                          ,+                                           ,+                                       ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 3, 130.00,     29.6000,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,+                                        ,+                                ,                                  ,                                           ,                                       ,                                          ,                   ,                                           ,+                                ,+                                           ,+                                 ,+                               ,                                   ,                                       ,                             ,                                           ,                                           ,                                          ,F                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,+                                ,                                    ,                                            ,+                                              ,                                   ,+                                         ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 4,  19.00,     29.9900,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,                                ,+                                        ,+                                ,                                  ,                                           ,                                       ,                                          ,+                  ,                                           ,+                                ,+                                           ,                                  ,                                ,                                   ,                                       ,                             ,+                                          ,                                           ,+                                         ,+                                               ,                                           ,                        ,                            ,                                            ,+                  ,+                                      ,                                 ,                   ,+                                                ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,                          ,                                     ,                                 ,                                    ,                                            ,+                                              ,+                                  ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,136, 842,B,  4,H, 4, 129.00,     31.0900,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                                            ,+                               ,+                                        ,+                                ,                                  ,                                           ,                                       ,                                          ,+                  ,                                           ,+                                ,                                            ,+                                 ,                                ,                                   ,                                       ,+                            ,                                           ,                                           ,                                          ,+                                               ,                                           ,                        ,                            ,+                                           ,                   ,                                       ,                                 ,                   ,                                                 ,                            ,                              ,                                            ,                                        ,                                          ,                                   ,                                              ,                                              ,                                ,+                         ,cf                                   ,+                                ,+                                   ,+                                           ,                                               ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,                  ,              ,136, 842,B,  4,H, 5,  22.00,     31.5200,Firth    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,+                                           ,                                ,+                                        ,                                 ,                                  ,+                                          ,+                                      ,                                          ,+                  ,                                           ,                                 ,+                                           ,+                                 ,                                ,                                   ,                                       ,                             ,                                           ,                                           ,                                          ,F                                               ,                                           ,                        ,                            ,                                            ,                   ,                                       ,                                 ,                   ,                                                 ,cf                          ,                              ,                                            ,+                                       ,                                          ,+                                  ,                                              ,+                                             ,+                               ,                          ,                                     ,                                 ,                                    ,                                            ,                                               ,                                   ,                                          ,                                            ,                                        ,                                          ,                                          ,                                                 ,                               ,                              ,                                    ,                                           ,                                                 ,                                        ,                             ,                                 ,                                  ,                                         ,                                   ,                                           ,                                        ,                                          ,                   ,                   ,                                    ,from ODP Leg 136 Chapter 2 Table 1 p 28-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
