Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudammodochium sp. A	Pseudammodochium eximium	Naviculopsis spp.	Ebridians (indeterminate taxa)	Dictyocha carentis incerta	Corbisema elata	Corbisema apiculata	Ammodochium spp.	Actiniscus pentasterias s.l.	Naviculopsis aff. constricta	Hermesinopsis sp. A	Distephanus antiquus	Dictyocha rotundata rotundata	Dictyocha deflandrei	Pseudammodochium sp. B	Pseudammodochium dictyoides	Naviculopsis spp. fragments	Hermesinella conata	Dictyocha carentis carentis	Dictyocha bryonalis (medusoid)	Corbisema lamellifera constricta	Corbisema hastata	Carduifolia gracilis	Ammodochium sp. A	Ammodochium doliolum	Falsebria ambiqua	Distephanus crux crux	Corbisema reducta	Corbisema convexa	Ammodochium serotinum	Spongebria marthae	Naviculopsis eobiapiculata	Naviculopsis aspera	Hermesinum acus	Hermesinopsis valida	Haplohermesinum cornuta	Distephanus speculum  pentagonus	Dictyocha transitoria	Dictyocha spp.	Dictyocha rotundata secta	Dictyocha bryonalis subsp. A	Dictyocha bryonalis bryonalis	Corbisema spp.	Corbisema globulata	Ammodochium danicum	Septamesocena apiculata glabra	Pseudammodochium spp.	Naviculopsis minor	Macrora stella	Hermesinum obliquum	Hermesinum geminum	Haplohermesinum hovassei	Ebriopsis crenulata	Ditripodium spp.	Distephanus speculum f. schulzii	Distephanus crux subsp. A	Dictyocha martinii	Cannopilus hemisphaericus	Cannopilus cf. hemisphaericus	Ammodochium pyramidale	Actiniscidians indetrminate taxa	Naviculopsis biapiculata	Hermesinopsis exigua	Hermesinella schulzii	Foliactiniscus atlanticus	Falsebria rossica	Carduifolia spp.	Cannopilus jouseae	Distephanus speculum speculum	Distephanus speculum (diverse forms)	Corbisema triacantha s.l.	Hermesinella fenestrata	Ammodochium rectangulare	Distephanus norvegiensis	Corbisema lamellifera lamellifera	Dictyocha precarentis	Actiniscus elongatus	Haplohermesinum sp. A	Carduifolia onopordoides	Hermesinella cf. transversa	Corbisema spinosa	Mesocena quadrangula	Corbisema lamellifera hastata	Corbisema angularis	Synuracean taxa	Distephanus speculum speculum f. septenarius	Hermesinopsis spp.	Distephanus paulii	Dictyocha obliqua	Corbisema archangelskiana	Hermesinella paraconata	Lyramula furcula	Thranium sp.	Comment

  SR	                 	                 	                  	              	151	 908	A	 18	X	 2	  58.00	    160.2800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	                      	                        	                 	R                             	R                         	               	R                  	R               	                            	R                           	                   	                    	R                            	R                   	F                     	                           	                           	                   	                           	                              	R                               	                 	                    	F                	                    	R                	                     	                 	R                	                     	                  	                          	                   	               	R                   	                       	                                	                     	              	R                        	                            	                             	              	                   	R                  	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	R                       	                    	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	R                                	R                    	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	                  	              	151	 908	A	 18	X	 3	  58.00	    161.7800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	                      	                        	                 	R                             	                          	               	                   	R               	                            	                            	                   	                    	R                            	R                   	R                     	                           	                           	                   	                           	                              	                                	                 	                    	R                	                    	                 	                     	                 	R                	                     	                  	                          	                   	               	R                   	                       	                                	R                    	R             	                         	                            	                             	              	                   	R                  	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	R                       	                    	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	R               	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	                  	              	151	 908	A	 18	X	 5	  58.00	    164.7800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	                      	                        	                 	R                             	R                         	               	                   	R               	                            	                            	                   	                    	R                            	R                   	                      	                           	                           	                   	                           	                              	                                	                 	                    	R                	                    	                 	                     	                 	R                	                     	                  	                          	                   	               	R                   	                       	                                	                     	              	                         	                            	                             	              	                   	R                  	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	                        	                    	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	R                          	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	                  	              	151	 908	A	 18	X	 6	  58.00	    166.2800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	                      	                        	                 	R                             	R                         	               	                   	                	                            	                            	                   	                    	                             	                    	                      	                           	                           	                   	                           	                              	                                	                 	                    	                 	                    	                 	                     	                 	                 	                     	                  	                          	                   	               	R                   	                       	                                	                     	              	                         	                            	                             	              	                   	R                  	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	                        	                    	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	R                          	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	                  	              	151	 908	A	 20	X	 5	  57.00	    183.9700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	                      	T                       	                 	F                             	F                         	               	                   	R               	R                           	                            	                   	                    	R                            	T                   	R                     	                           	                           	                   	                           	                              	T                               	                 	R                   	R                	                    	                 	                     	                 	                 	                     	R                 	                          	R                  	               	R                   	                       	                                	                     	              	                         	                            	                             	              	                   	                   	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	R                 	                         	                             	                      	                                	T                       	                    	                     	                         	R                	                	                  	                             	                                    	                         	                       	                        	                        	R                                	R                    	                    	                     	                        	R                          	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 21	X	 1	  56.00	    187.6600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	F                             	R                         	               	T                  	R               	R                           	R                           	R                  	                    	R                            	R                   	R                     	R                          	                           	                   	R                          	T                             	                                	                 	R                   	R                	                    	                 	T                    	R                	R                	                     	R                 	T                         	                   	               	R                   	                       	T                               	                     	T             	R                        	                            	T                            	T             	T                  	                   	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	T                       	                    	                     	                         	R                	                	R                 	                             	                                    	T                        	                       	T                       	                        	                                 	T                    	                    	                     	                        	                           	R                	R                   	T                            	                   	R              	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 21	X	 2	  56.00	    189.1600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	                 	R                             	                          	               	                   	R               	C                           	                            	R                  	                    	                             	R                   	                      	                           	+                          	                   	                           	R                             	                                	                 	R                   	R                	                    	                 	F                    	R                	                 	                     	                  	                          	                   	               	T                   	                       	R                               	                     	              	R                        	                            	R                            	              	                   	R                  	R                             	                     	                  	              	                   	                  	R                       	                   	                	                                	                         	                  	                         	                             	                      	                                	                        	R                   	                     	                         	                 	R               	                  	                             	                                    	                         	                       	                        	                        	R                                	                     	                    	                     	                        	                           	R                	                    	                             	R                  	               	                                            	R                 	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 21	X	 3	  57.00	    190.6700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	                      	R                       	                 	R                             	R                         	               	                   	                	F                           	                            	                   	R                   	R                            	                    	                      	                           	+                          	R                  	                           	                              	                                	                 	                    	R                	                    	                 	F                    	                 	                 	                     	R                 	                          	                   	               	R                   	                       	F                               	                     	R             	                         	                            	                             	R             	                   	                   	R                             	                     	                  	              	                   	                  	R                       	                   	                	                                	                         	                  	R                        	                             	                      	                                	                        	                    	                     	R                        	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 21	X	 4	  56.00	    192.1600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	R                     	R                       	                 	R                             	R                         	T              	                   	                	R                           	                            	                   	                    	T                            	R                   	R                     	R                          	                           	                   	R                          	                              	                                	                 	R                   	T                	R                   	                 	R                    	R                	R                	                     	R                 	                          	T                  	               	T                   	                       	T                               	T                    	              	                         	                            	                             	              	R                  	R                  	                              	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	                        	T                   	                     	                         	R                	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	R                  	               	                                            	                  	                  	R                	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 21	X	 5	  56.00	    193.6600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	R                             	                          	               	                   	R               	F                           	                            	R                  	                    	                             	R                   	R                     	                           	+                          	                   	R                          	                              	                                	                 	R                   	R                	R                   	                 	C                    	                 	                 	                     	R                 	                          	                   	               	                    	                       	R                               	                     	              	                         	                            	                             	              	                   	R                  	R                             	                     	                  	              	                   	                  	                        	R                  	                	                                	                         	                  	R                        	                             	                      	                                	                        	R                   	                     	R                        	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	R                       	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	R                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 21	X	 6	  57.00	    195.1700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	R                             	R                         	               	                   	R               	C                           	                            	                   	                    	R                            	                    	R                     	                           	+                          	                   	R                          	                              	                                	                 	R                   	R                	                    	R                	F                    	                 	                 	                     	R                 	                          	                   	               	R                   	                       	R                               	                     	              	                         	                            	                             	              	                   	R                  	R                             	                     	                  	              	                   	                  	                        	                   	                	                                	                         	                  	                         	                             	                      	                                	                        	                    	                     	R                        	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	R                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 22	X	 1	  57.00	    197.2700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	R                             	                          	               	                   	R               	R                           	                            	                   	                    	R                            	R                   	T                     	                           	                           	                   	                           	                              	                                	                 	R                   	R                	                    	R                	                     	                 	R                	                     	                  	                          	                   	               	                    	                       	                                	                     	R             	                         	                            	                             	R             	                   	                   	                              	                     	                  	              	                   	                  	                        	T                  	                	                                	                         	                  	                         	                             	                      	                                	R                       	T                   	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	T                                	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 22	X	 2	  57.00	    198.7700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	                      	                        	                 	R                             	                          	               	R                  	                	F                           	R                           	R                  	                    	R                            	R                   	                      	                           	                           	                   	                           	R                             	                                	                 	                    	R                	                    	                 	F                    	                 	                 	                     	                  	                          	                   	               	R                   	                       	R                               	                     	              	                         	                            	R                            	              	                   	R                  	                              	                     	                  	              	                   	                  	                        	R                  	                	                                	                         	                  	                         	                             	                      	                                	                        	R                   	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	R                                	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 22	X	 3	  57.00	    200.2700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	                      	                        	                 	R                             	                          	               	                   	R               	C                           	R                           	                   	                    	R                            	                    	R                     	                           	                           	                   	                           	                              	                                	                 	R                   	R                	                    	                 	R                    	                 	                 	                     	R                 	                          	                   	               	                    	                       	R                               	                     	              	                         	                            	                             	              	                   	                   	                              	R                    	                  	              	                   	                  	R                       	R                  	                	                                	T                        	                  	                         	                             	                      	                                	                        	R                   	                     	R                        	                 	                	                  	                             	                                    	                         	                       	                        	                        	T                                	                     	                    	                     	                        	                           	                 	                    	R                            	                   	               	                                            	                  	                  	                 	                         	R                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108
