Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
149, 899,A,Initial Reports          ,     123.960,    3.560000,T. Reticulofenestra pseudoumbilica
,,,,,,
149, 899,A,Initial Reports          ,     137.245,    5.380000,T. Discoaster quinqueramus
,,,,,,
149, 899,A,Initial Reports          ,     156.840,    7.010000,B. Amaurolithus delicatus
,,,,,,
149, 899,A,Initial Reports          ,     162.380,    8.280000,Base NN11 (T. Discoaster loblichii)
,,,,,,
149, 899,A,Initial Reports          ,     188.440,   12.200000,B. Discoaster kugleri
,,,,,,
149, 899,A,Initial Reports          ,     197.090,   12.500000,B. Triquetrorhabdulus rugosus
,,,,,,
149, 899,A,Initial Reports          ,     201.940,   13.370000,T. Spenolithus heteromorphus
,,,,,,
149, 899,A,Initial Reports          ,     215.810,   16.049999,TA. Discoaster deflandrei
,,,,,,
149, 899,A,Initial Reports          ,     233.685,   18.799999,T. Spenolithus belemnos
,,,,,,
