Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi <150 µm	Subbotina triloculinoides	Subbotina triangularis	Subbotina pseudobulloides	Planorotalites spp. <150 µm	Planorotalites ehrenbergi	Planorotalites compressus	Morozovella angulata abundocamerata	Morozovella angulata	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Morozovella tadjikistanensis dianensis	Morozovella simulatilis	Morozovella hispidicidaris	Chiloguembelinid gen. et sp. indet (mainly Ch. midwayensis) large	Acarininid gen.et sp. indet (subangular)	Acarinina whitei	Acarinina mckannai	Morozovella tadjikistanensis	Morozovella pusilla	Morozovella nicoli ex. group (biconvex)	Globigerinelloides sp.	Acarinina subsphaerica	Acarinina nitida	Subbotina patagonica	Subbotina eocaenica	Acarinina soldadoensis	Subbotinid gen. et sp. indet (with abortive chambers)	Globorotaloides spp.	Acarinina spiralis	Acarinina intermedia	Morozovella convexa	Globorotaloides sp. 1	Acarinina velascoensis	Acarinina gravelli	Acarinina chascanona	Globorotaloides oregonensis	Acarinina esnaensis	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella sp.	Subbotina pseudoeocaena compacta	Subbotina higginsi	Subbotina eocaenica irregularis	Subbotina bakeri	Planorotalites pseudoscitulus elongatus	Planorotalites chapmani	Guembelitria spp. <150 µm	Chiloguembelina wilcoxensis	Morozovella gracilis	Morozovella aequa	Acarinina appressocamerata	Subbotina pseudoeocaena	Pseudohastigerina wilcoxensis	Morozovella wilcoxensis berggreni	Morozovella subbotinae	Morozovella marginodentata	Globorotalia praecentralis	Catapsydrax taroubaensis	Heterohelix sp.	Pseudohastigerina micra	Globorotaloides turgida	Subbotina hornibrooki	Subbotina eocaena	Subbotina corpulenta	Pseudohastigerina spp. <150 µm	Globorotaloides sp. aff. G.suteri	Globigerinatheka senni	Acarinina triplex	Acarinina spinuloinflata	Acarinina sp. aff. mattseensis alticonica	Acarinina soldadoensis angulosa	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina pentacamerata	Acarinina interposita	Acarinina decepta	Acarinina collactea	Acarinina acarinata	Acarinina bullbrooki/matthewsae	Morozovella lensiformis	Morozovella dolabrata	Morozovella crater	Morozovella broedermanni	Subbotina crociapertura	Subbotina lozanoi	Pseudohastigerina danvillensis	Cassigerinelloita amekiensis	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. cf. A.punctocarinata	Acarinina sp.aff. libyaensis/hainesi	Acarinina cuneicamerata	Globigerinatheka luterbacheri	Acarinina topilensis	Acarinina boudreauxi	Acarinina aquiensis	Subbotina inaequispira	Dentoglobigerina pseudovenezuelana	Subbotina pseudoeocaena trilobata	Globorotaloides suteri	Subbotina sp. cf. S. azerbadjanica	Subbotina utilisindex	Subbotina angiporoides minima	Globigerina venezuelana	Catapsydrax spp.	Globigerinatheka index	Subbotina linaperta	Morozovella sp. cf. M. spinulosa	Turborotalia cerroazulensis frontosa	Subbotina angiporoides	Globigerinatheka subconglobata	Globigerinatheka sp. cf. G.mexicana	Catapsydrax africanus	Chiloguembelina cubensis	Pseudohastigerina barbadoensis <150 µm	Catapsydrax globiformis	Subbotina linaperta s.l.	Chiloguembelinid gen. et sp. indet >150 micron	Acarinina aculeata	Tenuitellid gen.et sp. indet.<150 µm	Tenuitella gemma <150 µm	Tenuitella clemenciae <150 µm	Globigerina ampliapertura	Comment

  SR	Late Eocene      	                 	P15               	              	114	 702	B	  5	X	 5	   5.00	     40.8500	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	                                                     	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	R                       	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	F                    	F                            	F                      	F               	C                     	F                  	                                	                                    	F                     	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	F                                   	F                       	R                            	                         	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	B	  5	X	 6	   5.00	     42.3500	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	                                                     	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	R                  	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	F                    	C                            	F                      	F               	C                     	A                  	                                	                                    	                      	                              	                                   	                     	                        	R                                     	                       	                        	                                              	                  	F                                   	F                       	R                            	                         	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	B	  5	X	CC	  30.00	     43.0100	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	C                   	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	R                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	R                	                    	                              	                                 	                      	                 	                        	                                         	                               	F                       	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	C                     	                                  	C                    	C                            	F                      	C               	C                     	A                  	                                	                                    	F                     	                              	                                   	                     	                        	                                      	                       	A                       	F                                             	F                 	                                    	                        	                             	                         	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	B	  6	X	 1	  25.00	     44.5500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	                                                     	C                   	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	R                	                    	                              	                                 	                      	                 	                        	                                         	                               	R                       	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	C                     	                                  	F                    	F                            	                       	C               	A                     	A                  	                                	                                    	R                     	                              	                                   	                     	                        	F                                     	                       	A                       	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	B	  6	X	 2	  25.00	     46.0500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	                                                     	C                   	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	F                       	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	C                     	                                  	F                    	                             	                       	C               	A                     	C                  	                                	                                    	                      	                              	                                   	                     	                        	F                                     	F                      	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P14               	              	114	 702	B	  6	X	CC	  15.00	     47.4500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	F                   	                  	                    	                   	                     	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	R                      	                       	                     	                 	                    	R                             	                                 	                      	                 	                        	                                         	                               	F                       	                          	                          	F                  	                        	                       	                     	                 	F                  	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	C                     	                                  	F                    	F                            	F                      	                	A                     	C                  	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P14               	              	114	 702	B	  7	X	 1	 130.00	     55.1000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	F                       	                          	                          	C                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	F                    	C                            	C                      	                	A                     	C                  	                                	                                    	F                     	                              	                                   	                     	                        	F                                     	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P14               	              	114	 702	B	  7	X	 2	  40.00	     55.7000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	F                	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	C                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	F                     	                                  	                                 	C                     	                                  	F                    	F                            	F                      	                	A                     	C                  	                                	                                    	                      	                              	                                   	                     	                        	F                                     	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)
